id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.583191484e-14,7.2323751037e-18,1.28266671213e-19,1.92731356048e-13,7.58620773186e-17,2.67541412676e-15,2.87371544526e-17,2.44196046987e-19,1.1016773969e-19,6.64529746131e-15,3.8820826918e-17,7.86517654411e-18,3.8037756208e-16,1.13130792461e-16,2.73235845774e-15,6.82350023381e-14,1.72031459851e-15,9.1845565045e-19,1.28821344596e-14,1.55606553312e-17,1.8008739963e-15,1.76810186805e-18,3.41490751692e-13,1.03574045213e-18,4.74403714351e-15,8.54053791596e-17,5.37045451512e-14,3.3499177282e-13,3.17092141288e-15,3.79574733664e-15,2.41952897955e-20,4.34946051614e-13,1.09810034329e-12,2.45205049841e-12,1.60838986715e-14,2.20300961133e-17,1.7209997533e-12,6.58081496062e-16,1.01364310825e-13,6.23418049124e-16,1.16635981888e-17,2.0953486003e-14,3.46145053742e-15,7.27890550208e-17,4.26752690057e-15,1.12097695492e-15,4.01981919973e-12,1.53491237419e-17,3.14704602902e-17,1.22470693898e-15,1.05440753446e-14,1.0,5.21650534522e-17,9.31749658982e-14,3.01624991446e-17,1.93461149878e-11,2.98273097844e-13,1.83312860396e-18,1.84114850712e-15,3.41262052796e-14,3.48152835229e-14,2.63412502929e-16,4.92060751411e-14,6.0676670487e-16,6.47749215377e-12,6.81644597402e-15,6.26135309643e-15,4.50872411819e-18,5.409700855e-16,2.77953861641e-16,5.77855207214e-17,1.23220887157e-16,4.26833725699e-13,1.33843232872e-17,1.00529940275e-11,4.44164800426e-12,6.14514813818e-14,1.04013999291e-13,6.8302551115e-11,1.59554061027e-15,1.26046905118e-14,1.83349314245e-17,3.46447380976e-16,1.1156148054e-11,1.5706515949e-11,2.08459136128e-16,7.89364561925e-17,4.09585693321e-17,5.42533249229e-13,2.32717794124e-18,3.75494957122e-14,9.7507726353e-17,6.82687048791e-18,1.08899023798e-15,4.42045319348e-19,1.68115410146e-17,1.3874655068e-18,1.97549702291e-12,1.00499290799e-18
7,3.06689750839e-15,7.80443214937e-14,2.19290951635e-14,1.98347969993e-11,1.41123778177e-15,1.6615826045e-15,3.80668261669e-14,5.04442985753e-18,3.3793544101e-17,1.87163002111e-12,1.148171937e-17,4.04194671891e-19,1.58870730432e-16,5.54139330247e-15,6.32704230144e-16,9.45600119918e-17,2.41292645146e-15,6.82688429984e-14,1.72076826936e-14,1.59381622483e-11,1.15589961512e-14,1.39140514059e-16,1.3317880395e-14,4.74248114399e-15,1.51529080302e-15,2.14791927666e-15,1.13543851784e-13,1.33647018352e-14,1.79047071223e-13,1.52030264817e-18,1.43989397179e-17,3.69254653641e-15,3.46676456802e-14,1.67392472157e-15,6.08032721394e-13,1.29789720307e-16,7.25663765189e-11,5.82407678433e-16,4.01719976728e-11,1.30305072288e-10,1.11421964371e-15,2.84918616478e-11,3.13606156018e-14,2.83230927725e-14,6.09994548909e-17,3.62766622297e-11,4.43288604896e-17,2.76850609104e-09,2.02811861272e-13,1.29768863775e-17,1.0,3.99971600436e-14,5.04480012011e-16,3.08702043962e-12,1.29335847587e-11,5.31813742349e-12,4.56954420591e-14,4.38328708182e-14,2.50968768371e-15,8.45119499826e-15,1.17677541973e-13,2.2445081377e-16,7.0516743556e-17,1.13331930646e-11,4.89989755855e-15,1.86698580722e-14,3.80061168804e-17,1.48667421842e-15,3.52128917997e-15,2.19430321136e-10,4.09176305092e-18,2.02605961115e-15,2.04567902873e-13,6.35822634878e-17,2.6279438593e-15,2.20179472256e-14,3.92746425659e-12,3.70648954576e-15,8.51810009789e-14,1.57264110588e-12,3.77881916296e-13,2.70497040972e-14,2.27532971847e-14,1.92831549339e-11,4.42450312499e-11,1.57732063088e-13,2.55396235844e-13,1.38215761059e-09,9.24199369285e-17,7.84357389523e-18,6.80456638987e-17,2.13303304319e-16,6.27124044916e-18,1.24871733278e-18,7.49237965506e-13,5.31119998913e-17,3.13481489031e-12,3.77154464072e-14,4.47917866534e-14
9,3.0918494761e-12,0.999998927116,1.04536821907e-12,2.12478604454e-14,1.01891885151e-06,4.60756467702e-11,1.95501167338e-14,2.00277433526e-11,4.65771143876e-10,3.44732298263e-10,1.50748134136e-13,7.11806891207e-10,1.09472901325e-14,1.05864678189e-13,2.75926556045e-14,7.09840658475e-11,3.22263216113e-09,6.67238981013e-16,4.48731246863e-15,3.96789739954e-10,1.66464769486e-12,8.52489259739e-12,4.57614631952e-16,6.57734763125e-15,5.08959598692e-18,1.27506980668e-11,1.13302471572e-10,6.80308614686e-15,7.88731710152e-13,3.25156432812e-13,5.55846709806e-13,1.53120551449e-14,1.81204091445e-13,2.3915185831e-14,3.9678587564e-14,3.01050406826e-10,5.11299453094e-15,3.15585058086e-12,1.31416856835e-14,5.50807338108e-13,5.17638393561e-15,4.79118697841e-13,2.45441877543e-13,1.64608558086e-16,6.89837401611e-13,3.74088967133e-15,9.59387963415e-17,1.62820971983e-11,3.25478305332e-14,2.62432469927e-15,1.40220368411e-13,3.01969072111e-16,1.74693802989e-14,8.37554445287e-14,3.08115674901e-13,8.61060448136e-16,3.68130026462e-10,2.34449476976e-13,7.13431956292e-19,4.56948324665e-12,1.20559297137e-13,1.17606384853e-15,9.31469663771e-14,3.81301197214e-12,2.98869921866e-11,1.54826831558e-14,3.53503711763e-13,8.41357081119e-14,5.02719306792e-18,2.8270710561e-14,3.18115568847e-15,3.51923088991e-15,3.33955519488e-12,8.34448273825e-14,4.64155710395e-12,4.45221557375e-14,4.3929365341e-16,4.21684104193e-14,1.69404811359e-12,6.12458488343e-17,5.96753820404e-14,1.15068124842e-13,1.7322251523e-15,4.13070795559e-14,2.8009284345e-13,5.83600598403e-11,1.03196660354e-15,3.70578947303e-13,2.50203910325e-14,3.26319375167e-14,8.3937349301e-16,2.60337202642e-14,3.77757128014e-15,1.58290936379e-17,1.76235961995e-14,7.479859966e-14,3.24335395306e-15,3.82364834781e-14,3.15861381495e-09
12,2.36049541025e-10,3.24557586282e-05,2.5785104954e-11,8.53231222654e-13,1.52613324755e-10,1.00429473765e-11,7.61072804778e-09,4.54536852601e-10,1.48596441818e-08,2.17448291551e-06,2.58321510883e-12,5.29578812802e-07,4.60221222243e-10,2.28492967835e-06,9.83048420444e-10,2.10017123692e-08,9.86481590859e-11,4.79811301801e-09,4.11194895408e-13,0.999873638153,7.42427941347e-09,3.3811134773e-13,5.3990738963e-11,1.89869322521e-12,1.40821084177e-13,1.19533126886e-13,1.04238635501e-08,9.01283388199e-12,5.65503806976e-12,1.70050189208e-11,4.41253934433e-12,1.37470720571e-11,8.84601014661e-09,3.52236772735e-12,2.39669742386e-11,1.7989922052e-11,9.55341361575e-11,1.06567692171e-10,1.12363160443e-10,2.23144336342e-10,5.96372994391e-14,9.9350061511e-10,6.71799681856e-12,1.52943548668e-13,3.34107103095e-10,6.04475303145e-10,2.86450889593e-14,8.75143668964e-05,1.19272218768e-08,3.32144319101e-14,7.17905113135e-09,2.96256920905e-12,2.17346991099e-11,3.79697384645e-09,1.11195568309e-08,1.27908248229e-11,5.48870887976e-12,3.88884410785e-11,2.04286782803e-12,3.85676317272e-11,9.27678767138e-12,1.65669344562e-14,1.452110307e-11,6.45246700515e-09,2.44219511281e-09,2.52223841812e-09,2.70734107875e-12,9.6504176178e-12,8.98899932354e-13,2.82158255094e-11,4.24188086051e-15,3.12755680729e-12,1.91609852984e-11,1.64558449332e-12,3.38902766961e-10,3.13615279579e-12,2.13067497673e-11,1.65475544378e-09,7.22794324393e-11,9.11874742382e-11,9.92243709419e-09,1.1142182732e-09,3.47673584367e-10,3.6262187697e-11,1.23773391536e-09,7.30605904664e-08,2.99858879046e-12,1.18037624119e-09,7.86842616616e-15,1.94493206263e-12,4.79289595208e-14,3.45903555798e-10,1.06466203041e-12,1.50411923043e-13,1.96787530715e-10,2.76565099711e-08,2.16521692611e-13,2.63880362006e-10,1.23574022837e-06
13,6.89571044372e-17,1.57107374595e-15,7.26055095986e-16,9.41528736943e-18,1.10358999432e-14,2.0866461838e-14,3.99381557285e-14,2.69095286147e-14,4.41768913118e-11,2.54039909768e-12,1.84317350879e-14,3.53311185863e-10,6.82459324513e-14,1.128173336e-11,1.0,1.10741121405e-13,1.33714718985e-12,4.78250429778e-15,8.46501308719e-13,4.36557985806e-15,6.14306565686e-13,1.11607856339e-15,2.62399710928e-15,1.90048358859e-16,2.0511243325e-14,4.32196079795e-18,3.80117430587e-11,1.34712770453e-13,2.38057135988e-14,4.19410904932e-16,1.5087953044e-16,2.45443992663e-17,1.86236035617e-16,1.01215820867e-15,9.93308125707e-17,3.98751093722e-15,1.0204320265e-14,9.08528730365e-17,5.76660369304e-14,1.21404622466e-14,2.3809050591e-16,2.27977567795e-16,1.77273939885e-13,3.15897183628e-13,1.27187765325e-14,1.24670873146e-18,5.79369635949e-16,1.19585356632e-14,7.30508210346e-13,6.97983066743e-13,1.04598947221e-16,2.09450733777e-16,2.41875340286e-13,2.01539414497e-12,2.91528962226e-15,9.68516106615e-16,2.95047410034e-16,2.89698956013e-13,3.12986747293e-16,7.07069156876e-17,1.66321229589e-15,8.08673620282e-15,5.69666045564e-14,4.73344677527e-14,1.32565128579e-12,4.16192657843e-18,3.17006103916e-16,1.08107112843e-17,5.91642455141e-16,2.49588371482e-14,1.25269696075e-17,3.20149999049e-16,5.96764886889e-17,1.19305977637e-15,1.00229872145e-12,1.91595295131e-15,1.1466543352e-15,1.33280140396e-11,8.47144186397e-13,8.12160854926e-15,1.83375572214e-13,1.95550875467e-15,2.37581899683e-13,1.32920096371e-12,3.5702137183e-14,3.50523171169e-16,8.6105515418e-15,4.22956670876e-17,1.74169642061e-14,8.90665796324e-13,1.71038889703e-14,6.25627761403e-12,1.74536780021e-14,2.15795751494e-13,4.67266436861e-14,4.95411434098e-10,9.50748065887e-15,1.1043485462e-13,2.49793854263e-16
16,1.91371207769e-09,9.13727220378e-15,8.31454534129e-13,0.999993920326,1.75062408434e-15,1.58568929946e-15,5.51896886752e-14,1.39727975284e-12,1.44587206791e-12,2.8628578593e-15,1.76814465846e-11,1.80226232565e-14,1.14075882074e-09,2.63699354236e-13,8.34298602426e-12,2.67596860469e-12,9.13336593855e-12,2.7234006608e-13,3.24170223998e-09,1.46042506972e-13,8.85329814017e-14,1.25812500609e-13,2.40620430482e-13,7.04830430267e-15,2.61593005035e-08,2.59476693604e-11,7.8780506424e-12,5.01925237484e-11,6.40982655842e-10,2.9036293667e-15,1.02121300305e-09,3.02475991303e-12,2.96415092471e-09,1.28829603235e-11,1.67433211393e-12,8.13234723296e-15,8.79284631217e-11,5.95188977856e-14,2.46950236546e-14,1.40242201532e-12,1.08059415582e-10,3.15312324861e-11,9.06556947566e-13,3.50462664755e-06,4.60667788638e-12,6.31557206532e-09,6.18663106855e-12,1.40734041378e-14,5.45492644111e-12,5.56445167721e-10,3.64390795315e-10,1.42532111114e-10,8.58142357174e-09,2.81751288966e-10,8.92880511349e-16,3.31656951902e-10,1.66894865712e-14,1.98003722793e-13,3.50407119987e-10,7.16130009026e-13,1.74217298365e-08,5.86511193074e-15,3.95663016239e-11,1.18451134318e-11,4.03957629066e-13,2.2174552472e-10,4.09100704701e-13,6.04833752527e-11,2.20530774198e-10,5.58057600131e-10,3.6382287699e-13,4.98799945792e-10,1.91220127298e-13,9.7752861361e-11,7.01563127728e-15,8.78367257401e-12,7.28232751879e-11,1.94819316929e-11,5.90593180372e-14,6.05105765841e-12,1.04853647381e-15,5.63361024497e-10,8.01592746715e-14,1.07888800116e-08,1.10534702864e-13,1.3464851456e-09,2.51425262832e-06,1.18366670632e-11,3.21871334111e-14,2.2944827982e-10,3.90743659651e-09,1.60136737204e-10,6.44662927167e-15,7.26750474037e-12,1.16839482533e-09,4.12286975393e-11,6.48946382742e-11,1.8365869936e-09,1.47631689859e-12
19,9.36903124527e-11,1.65853032127e-15,1.43853001342e-13,1.0,1.87685792063e-18,1.43726006328e-17,1.66265963336e-16,4.17009910633e-16,4.06625027296e-15,1.80239201169e-16,1.41056640652e-13,2.4073143718e-18,2.96937197053e-11,1.14654818146e-17,2.0099235541e-16,6.34785707732e-16,3.90758423069e-14,3.29366458669e-16,4.16822880465e-13,2.16226505017e-15,6.13598934033e-14,5.537963944e-17,3.59449363186e-16,1.53804983716e-15,1.57269813492e-12,2.88304493126e-12,3.28094903397e-16,1.35836016185e-15,4.23513958278e-12,3.18129982634e-18,2.91941031896e-13,4.34193425571e-13,4.53785576823e-12,3.13046606053e-15,5.98909256674e-15,4.3938129485e-16,7.81974921556e-14,2.31175048349e-15,8.25775384894e-15,9.61692097484e-13,4.23099055791e-15,7.9593710095e-12,5.82187767505e-16,2.84296371167e-12,5.70042128193e-14,1.59556222401e-11,6.8752336181e-14,4.27745073858e-16,1.09249843669e-14,8.14639601555e-16,5.79137182655e-10,1.41790333814e-13,3.21300549101e-13,2.54659764413e-13,4.04051722674e-17,7.17104815199e-13,3.32656870649e-17,5.70502431836e-17,2.79877954579e-13,8.11265964617e-15,2.2309466774e-10,1.6702801092e-18,6.98603365911e-14,3.18965132305e-16,2.14720768428e-14,4.32098731795e-11,3.72115073316e-16,3.13158721451e-16,3.24727122633e-14,3.10792109279e-13,1.57245803602e-16,3.25661230567e-14,1.30047996535e-15,1.76015590492e-16,7.29948178525e-17,6.48039835769e-15,5.04877389895e-13,5.99864365732e-17,1.33376372135e-17,2.32039237949e-14,3.80062272056e-19,6.13650731791e-13,4.41932756611e-17,2.96828154504e-13,3.9284188695e-14,1.48545290651e-11,3.88561145065e-12,1.00411649481e-12,5.03698771356e-18,3.15476743579e-14,9.73135851415e-13,4.98559917309e-12,5.44362391242e-18,5.56671111727e-15,1.5099026196e-10,4.48971190121e-16,3.28764284947e-14,3.31870620394e-12,3.99662377845e-12
23,2.39873801432e-15,9.79167783096e-14,9.12566897049e-13,1.78510886628e-11,5.97969265249e-13,9.61055457438e-10,2.09100572686e-13,4.30151270506e-12,1.76027270017e-13,1.05212935464e-14,2.43838848685e-17,6.6822869666e-14,6.01574128206e-16,1.10845823148e-15,3.02795738786e-13,1.08597499049e-10,1.22909300264e-14,1.38905113015e-15,4.93524492107e-13,9.62546760504e-14,2.63762449382e-12,1.0040724762e-12,2.19654427026e-13,1.2622747899e-12,1.62600176379e-11,1.40423656318e-13,8.60300024307e-15,1.12458261536e-16,1.0,1.86313786621e-09,3.40557221312e-10,1.50200765881e-16,1.2959937824e-14,5.02166938674e-14,4.70795006712e-13,1.2974551121e-11,2.18248388544e-16,2.35885041968e-13,3.62789090219e-13,3.3077863365e-12,2.70935531929e-17,7.77366803448e-17,1.44012454739e-10,9.84474884968e-14,2.12105079865e-14,1.11224438934e-16,3.67415205129e-16,4.92646902181e-17,1.64706795379e-15,1.55813934109e-16,3.5628959635e-13,1.99598892508e-14,3.05013792001e-11,1.56067138379e-11,2.40411775774e-13,5.1410761065e-11,2.90065129034e-12,9.26113129056e-15,2.55422867963e-18,9.17938604665e-16,3.01010654119e-13,9.02704907352e-12,9.52883605354e-14,1.00493463377e-12,3.02672318632e-12,6.70861698577e-15,1.53862807911e-11,1.43726840867e-13,1.39784373448e-14,9.79635816911e-12,1.50648070407e-12,5.05945491665e-13,2.57012615265e-14,6.64497428436e-13,4.2869392943e-17,6.52096123029e-17,3.26355343574e-13,2.77330170107e-15,5.19052726825e-15,1.5096720735e-14,3.39492939783e-14,1.2906421808e-12,8.89489216421e-17,1.88361797676e-14,6.24718443751e-14,1.16232359769e-15,8.89871130342e-13,4.97877157253e-14,1.06686557646e-13,1.38624624407e-14,4.02776363694e-15,2.14385902423e-15,1.78530015207e-14,6.8195639023e-16,9.98890496346e-16,1.39987547006e-16,2.91262189199e-15,3.34275146947e-16,4.40642704616e-12
24,5.5881314116e-13,2.49926117399e-14,3.96654253073e-16,2.3021845169e-15,2.94927317702e-14,6.8322414783e-13,5.01552094398e-15,4.26378227379e-16,1.37650045239e-14,4.11742065139e-13,7.20017498077e-16,9.40229997207e-17,2.61726662518e-17,1.48943640361e-18,2.98980226359e-15,2.36229340532e-14,6.86338312572e-12,1.48332475898e-17,3.84010368931e-18,2.77148703293e-12,1.75160602169e-12,1.06637053662e-18,2.11798321986e-17,2.79436797956e-17,7.89667584033e-20,7.37440201487e-18,4.37685911819e-12,3.43793630988e-14,2.31694173667e-15,2.84383503456e-17,1.53172232889e-20,6.46248592834e-12,1.44840289393e-13,2.62928746531e-15,2.48402809112e-15,2.57764434297e-16,2.61961920255e-13,3.54369745353e-12,6.02273439454e-12,1.0471967938e-13,5.93250998832e-18,1.62178796326e-13,6.23186224846e-12,8.48558164906e-19,1.01241023486e-13,2.25640158142e-13,1.17908260116e-17,2.1112338562e-15,3.72658961113e-17,3.30603709107e-17,3.51229760337e-13,9.05577370904e-13,7.32056364122e-17,7.93186004006e-17,7.1702434834e-16,9.08571330828e-15,1.57550051384e-18,2.03020549332e-16,1.55092562057e-12,4.87321120957e-12,7.00879910953e-15,1.39543896956e-17,8.22941212652e-17,9.28889615707e-17,6.6817008198e-14,4.86450915729e-16,5.84403632164e-17,7.02540084657e-21,6.82234799372e-16,2.18126145808e-15,1.67819953638e-18,5.90293745424e-18,8.77444871132e-16,1.00081947161e-17,3.16251541556e-14,5.85183147057e-14,1.17870272462e-13,5.34728218648e-18,6.75655982985e-13,6.21722342103e-16,7.63828138516e-15,2.34200851207e-16,7.64793247856e-15,1.56372191671e-12,1.0,9.88421274997e-16,1.12069620173e-20,1.39499327803e-15,6.09754931229e-17,3.20804220828e-15,3.25089652734e-14,1.10222871278e-18,1.24479549e-15,3.4004159381e-19,1.82220905032e-12,1.31813004086e-16,1.36439189815e-19,9.65074797039e-17,1.4126682525e-18
28,3.42834051079e-12,2.57276253253e-12,4.42188061341e-14,1.10250803678e-15,1.9556451185e-13,1.10229826907e-14,4.54261845154e-12,1.50705056073e-11,1.0,9.18411460807e-16,7.00786678036e-14,1.2637828067e-12,1.9350682081e-12,1.08676169429e-15,1.03368563709e-11,2.72740922728e-13,1.7442247733e-12,1.68079458229e-14,1.07088840274e-16,7.60810360025e-13,1.24070144349e-12,4.53287001658e-17,7.096002489e-19,2.36561164763e-18,4.35647573619e-17,8.27461523089e-17,1.80920467122e-16,2.56367777056e-18,8.81948831186e-15,1.21013797229e-16,2.13705734966e-15,9.14655541357e-18,1.21540393377e-14,2.78770723275e-14,3.80145276529e-17,7.64632064262e-13,1.35808343106e-18,1.71777756543e-14,6.25511596932e-17,1.49880812421e-16,1.35819893443e-16,1.12263668951e-16,5.95570901306e-17,3.09390778104e-18,3.39161546612e-14,1.85130250648e-17,1.32299494646e-18,1.38031462057e-15,1.77809473925e-15,2.37079304214e-14,1.18082400246e-18,2.1910298673e-20,1.76713096481e-18,4.81339654227e-16,3.10201630171e-17,9.15312140784e-17,6.06613315806e-18,1.41205082752e-15,1.21349802957e-17,9.7367699366e-15,2.84113379355e-18,4.9881335994e-18,2.38297790754e-15,4.00545284205e-16,2.66092885751e-16,3.02326678833e-16,3.64481704833e-19,2.04081901467e-17,7.82322525216e-18,1.01505768186e-16,3.83129744179e-17,1.057403175e-16,3.01720352963e-18,2.67338235942e-16,2.87973223792e-15,4.12198368101e-18,4.31165478926e-17,1.39369464417e-16,1.68541816246e-13,2.84306080126e-20,1.43664209981e-15,4.62610326396e-16,5.96789900831e-17,1.42441676078e-17,2.81437149112e-14,2.99520146336e-15,6.24231888968e-16,9.8075496508e-17,6.71667224594e-18,4.54302567787e-12,1.59299170284e-16,8.56011665902e-15,7.06131134061e-17,8.30261017272e-14,1.23525703555e-11,1.68538916005e-13,3.4459106133e-19,3.58758571422e-18,2.46348362462e-16
