id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.24407943799e-13,3.73092529093e-10,1.50557635172e-18,1.94913489103e-13,7.18009148231e-13,6.01069971573e-10,3.45888169824e-15,1.7207879642e-17,3.17958655993e-15,2.67398885256e-08,5.93257259927e-15,1.91541102537e-19,5.84776657533e-18,1.91037989803e-15,1.15597299528e-12,3.58989131011e-14,1.39090261531e-09,5.98572528947e-21,7.29732192641e-13,2.07658817577e-14,4.18395840977e-13,5.1577342397e-10,2.25735294172e-12,2.83194623893e-14,4.23340248422e-15,5.89600110474e-15,2.49012421794e-10,1.8594927681e-11,1.87247526512e-12,9.92990786137e-18,3.52794263163e-19,9.00180832653e-11,2.4671551694e-12,1.41974929591e-08,1.17827340766e-12,9.41287859831e-14,5.58369702471e-13,1.84145839545e-17,3.41851658092e-09,5.4187811329e-14,1.64181973765e-15,1.12745500436e-10,4.50276517461e-11,6.14015705477e-17,8.77514423972e-13,1.59068732324e-15,3.66329368262e-05,8.81558936627e-17,1.35702242975e-20,1.15514245237e-15,2.55021779519e-13,0.99891102314,4.06248070214e-19,4.94620698566e-11,3.84030274247e-09,1.44867122742e-08,6.75706075981e-07,7.26316193892e-17,6.04292111298e-21,9.72700253676e-11,1.37232510512e-12,6.52559839498e-10,4.10486504813e-13,7.506459343e-11,9.88065266938e-07,1.2049540883e-14,9.61329488236e-11,7.09645328175e-17,1.9043194105e-11,1.54395990367e-15,6.73534595745e-15,3.08779762284e-15,4.15055795289e-10,6.06621756357e-16,0.00102334236726,9.70687233348e-06,1.94567372277e-16,5.46876599561e-10,2.80884228232e-06,5.38559980303e-15,3.3707403535e-09,5.77571500808e-18,1.12091757659e-17,1.35627979034e-05,4.89421779548e-07,1.58377035541e-18,1.18191685281e-17,5.19239104514e-17,6.75849150866e-07,5.77566180356e-21,3.64184356771e-14,6.00166292532e-13,1.28318016443e-15,8.32470639365e-19,1.60722367218e-14,1.10312740316e-16,7.1216743495e-17,1.30205202176e-09,1.51838795253e-16
7,1.16200434691e-11,1.16210818746e-08,1.00223999766e-07,1.34453266583e-05,9.07625571922e-11,1.12542672071e-07,1.17439312817e-05,6.81044179385e-11,2.21818341473e-10,5.34717103928e-10,6.39991098311e-13,1.0778010598e-14,1.20186907301e-11,1.15421193436e-10,1.75669079283e-09,2.06936645597e-09,6.31853111499e-11,3.89372019072e-08,7.54203557246e-12,0.00685937935486,1.1604976962e-12,2.42670719075e-08,4.13241468822e-10,1.07587316833e-09,2.18711590505e-10,9.4949459406e-10,6.05719696622e-10,2.02085637113e-08,1.58400759176e-09,8.92563583807e-13,2.345635437e-07,1.40771270196e-08,2.07026769061e-08,3.16307036119e-10,3.3648916542e-06,1.79663003225e-11,3.39888683811e-05,2.62486210545e-08,2.61614161445e-07,9.13026087801e-06,1.57863235017e-06,2.13184677023e-07,1.2042517028e-06,1.1438360481e-08,1.3972413504e-10,2.55128111348e-06,1.41942957388e-09,0.000130655724206,6.60393042358e-18,3.71317085694e-14,0.992666423321,8.73373817711e-09,1.71362017909e-08,5.58179324983e-09,6.2900635811e-09,7.6650593428e-08,1.54672488151e-08,1.49314314513e-06,4.62881111218e-09,3.513150304e-08,1.25773913506e-09,2.47789468943e-08,3.94530449976e-11,1.88286401226e-06,3.08189890275e-10,4.95482691334e-12,1.60277113803e-09,4.30711217803e-08,1.14331487566e-06,2.02091123356e-05,2.2232638907e-12,8.02956104384e-11,8.30543367414e-09,8.8242541052e-10,8.33776159226e-10,3.06343972412e-09,6.47500030482e-07,5.12790876428e-09,7.12755223731e-08,7.39664995919e-09,6.73307312127e-08,1.36672852591e-07,2.18056629819e-06,0.000137947063195,9.36577976063e-07,4.43919834225e-09,6.40183159817e-08,9.34776398935e-05,1.10880138404e-10,1.95006619359e-12,5.83805492838e-09,2.41434566783e-10,1.9966916575e-12,1.0355739051e-15,2.96359348795e-06,3.22008364417e-10,1.92777952179e-06,7.53212325844e-10,4.40482850195e-09
9,4.18267122326e-11,0.999647021294,2.55697047737e-12,2.44672771627e-13,0.000341706618201,1.72408807231e-08,1.33098546073e-10,2.15442486073e-09,8.59965894051e-06,2.82317984102e-07,5.82812409444e-11,3.55538247732e-08,2.40545799425e-12,8.48472835502e-14,6.11845574205e-11,1.20553858562e-10,1.93923028746e-06,9.99663269914e-14,3.61302296675e-13,3.75332085412e-08,4.62273361951e-12,5.10162467826e-10,8.18544603436e-15,7.91300076679e-13,2.82941479626e-14,3.35507621685e-10,9.76918457241e-09,1.81907736961e-15,2.92076475852e-12,6.5173208415e-16,1.55771211902e-11,2.41046874301e-12,2.6296198552e-10,2.46412501514e-10,1.00465222621e-13,4.16019503291e-07,2.02549226848e-14,3.47908182298e-12,1.31969400143e-13,4.30608456878e-12,6.74907916012e-12,4.85967958718e-15,7.07882225059e-11,3.70558618512e-14,2.4021900788e-11,2.34675216127e-16,1.58976195923e-12,1.52509706253e-11,6.69048328092e-15,2.40656843412e-12,1.95268904128e-13,7.05967185752e-12,5.64790930495e-14,4.37436241743e-12,1.24943388968e-11,1.49536511646e-11,1.76680590158e-08,1.22130745187e-12,2.61638137649e-18,3.09133740741e-13,1.72259233787e-12,1.99126414142e-12,6.87047695212e-13,9.86059589536e-09,4.07574329842e-09,2.05009750495e-12,1.86205499804e-12,3.2563462018e-13,7.84646598997e-13,7.00175750712e-11,4.17512466928e-14,4.82142971381e-11,4.07964894505e-12,1.60068447386e-09,1.90964044577e-08,3.70375674574e-10,2.71123032201e-14,6.12234004813e-12,1.4146482874e-09,4.11323434351e-14,3.30041105556e-09,5.33808760744e-15,1.36018846129e-14,1.27477500778e-10,1.18011322936e-09,9.50453864917e-12,7.25350735151e-15,2.0003795842e-10,2.42533371858e-11,7.08131955851e-11,1.74107608756e-13,1.73652325158e-12,9.86771168249e-12,1.25342650755e-12,1.11282960624e-09,9.65710983403e-11,1.84480956986e-13,6.28362639699e-12,4.99988352942e-08
12,3.27918096323e-12,2.01901821129e-06,1.0595032629e-09,3.64200980485e-09,1.68492692021e-10,2.50639509147e-10,2.87939164991e-05,1.60886137746e-09,1.68601843598e-08,1.19922018982e-08,2.85060806882e-14,8.1173514091e-12,1.78047021571e-09,1.85028845578e-08,2.34802186583e-08,3.89728582739e-10,2.8364675192e-11,1.73112971424e-06,1.83335724396e-14,0.99726164341,7.61099679374e-13,5.54654988605e-10,6.72999919682e-11,4.09255337952e-11,3.16348752749e-11,1.19666965226e-09,1.60601310029e-09,2.49732717145e-11,2.10092273439e-12,7.17934663542e-13,1.95227034538e-09,2.76703909785e-10,1.33535147384e-08,1.12498593774e-10,2.80955758658e-10,4.99146383948e-12,1.94931416786e-07,1.87515027505e-07,5.68841307391e-10,4.24239452457e-08,2.26490310951e-08,1.52640067252e-09,1.12376408179e-09,6.3009049367e-11,9.62778856639e-10,2.74743866546e-10,5.1348834039e-12,0.00270280078985,5.66488686807e-17,2.15454328606e-15,1.60729413778e-07,1.34223630474e-11,2.35241243152e-10,2.22637500883e-13,2.14006438438e-12,1.91287524015e-12,4.64066458872e-11,5.50481161099e-07,2.68119526581e-10,1.68811145618e-10,8.6899015761e-11,7.40028437834e-12,4.43041964227e-10,7.80736471029e-08,4.42193261174e-11,3.140210314e-11,3.80238063258e-11,8.91817375503e-09,7.70244368287e-10,1.27224009105e-10,1.47533799955e-13,2.90928722085e-11,4.53699543213e-11,1.31429880867e-10,3.6583130969e-10,5.09739507548e-11,3.97247790218e-10,3.49528406218e-10,1.55383073075e-09,7.72542529948e-10,2.46081857114e-08,2.02801456184e-10,3.09574375024e-08,7.61619656231e-09,2.1651125337e-09,9.67355351378e-09,3.2793561703e-12,6.88274781169e-07,7.66697903082e-12,1.29419842898e-11,1.9096755427e-11,7.15391496042e-11,3.23972727985e-13,6.95030979045e-15,6.68622362809e-07,1.24000976598e-07,9.09344421984e-09,1.0312941473e-10,1.1485531104e-07
13,5.32287502963e-09,2.52485733654e-06,1.47949165939e-12,2.48129676528e-11,6.61006183122e-09,8.57965642975e-10,1.78285226582e-08,1.67620806124e-09,2.74753328995e-05,8.1910528138e-08,1.87136084406e-10,6.32153718261e-10,4.88673457255e-09,6.70708955042e-09,0.999923825264,2.59490817722e-10,1.03229403976e-05,2.48076680726e-11,1.8824154735e-10,1.91464755162e-09,1.92853946146e-08,3.94260707415e-10,1.04640840437e-09,1.58850627097e-10,2.07230857474e-10,1.10653264329e-10,2.99403467352e-07,2.10892813629e-11,2.40433142146e-11,8.07163529944e-15,2.7388941809e-13,4.44266585325e-12,5.45559203282e-13,1.04146982705e-10,1.30627952032e-12,1.29037858176e-09,5.41808153898e-10,2.49471580546e-12,4.75840478131e-10,2.35885304345e-11,9.40618624656e-11,3.30219549483e-08,2.35409913785e-10,3.78823361569e-11,1.550391239e-11,8.13978502927e-15,4.95058272154e-10,3.11815262499e-09,6.58450183266e-10,2.58593191305e-09,2.78569593608e-12,2.46365122747e-10,9.7779477657e-13,1.98953950536e-10,6.96940907763e-11,5.80461243307e-13,1.96608898051e-08,2.61914379074e-10,1.85966585013e-13,3.1779637949e-11,2.78607449611e-11,2.94816587809e-10,3.71037067737e-09,2.55836795304e-07,4.34474178856e-10,2.94392613585e-12,2.02141373085e-10,8.06695751865e-11,4.12897840918e-11,7.56876852859e-12,1.92283493815e-12,6.02126259963e-09,7.76260999924e-11,6.05147945643e-11,7.55355131332e-07,9.31048660391e-09,5.5780855629e-11,5.29376897873e-08,1.24902811649e-07,9.70219807273e-11,5.75415199933e-08,4.77641743431e-14,5.03467545432e-10,1.23009897379e-07,1.90677584833e-09,1.27950532114e-11,8.74196028067e-12,2.67036365242e-10,3.48054829402e-09,5.13070586017e-10,1.80707033538e-12,1.36927170047e-07,2.37024419189e-12,3.26710852816e-10,2.19991591166e-07,3.34780161211e-05,8.21253481886e-11,1.02901204002e-07,2.41192982253e-10
16,2.08695091715e-05,3.19090219136e-07,7.12725022822e-06,0.980286419392,6.65708341785e-08,9.13114348577e-08,8.00319103291e-05,1.65502206073e-05,2.78764241557e-06,3.26115454641e-08,2.50897255683e-06,1.36708315779e-08,0.000165194171132,4.97287828694e-07,1.96907672034e-06,1.99235206111e-08,1.47029396658e-07,0.000431170949014,3.30986108565e-06,0.00181528623216,1.15413278934e-07,4.18462332163e-06,6.98573785485e-08,1.02876060737e-06,1.39801331898e-05,1.0053367987e-06,1.55331022711e-07,3.26215308633e-06,1.84045816809e-07,7.29214855166e-10,0.000461136369267,2.7239418614e-06,1.72349318746e-05,1.77383114419e-07,1.50248351929e-05,9.57516306244e-08,2.93084940495e-05,1.09284446808e-05,4.9096905741e-07,1.28329538711e-05,1.97118770302e-05,0.000238500200794,1.71076280822e-05,0.000714897294529,2.88815704153e-06,3.63403996744e-05,3.08273001792e-06,4.37791732111e-06,2.41799780198e-09,1.48721113646e-07,8.57063423609e-05,2.64273865014e-07,0.000310764909955,5.94312325575e-07,4.70174711609e-07,1.10880783666e-07,1.11129406832e-06,0.000165016244864,0.00417378451675,1.23576882061e-07,2.99268231174e-05,2.28633325605e-06,4.94296291436e-05,2.24085442824e-06,7.84672877785e-08,8.93894321052e-06,1.60711437047e-07,9.82967867458e-06,0.000128053201479,0.00060213857796,2.06836219263e-08,8.69716245688e-07,1.58133545369e-07,1.8610717234e-05,8.33967078506e-07,1.34366537168e-05,4.59483817394e-05,4.43831595476e-07,2.16798994757e-07,4.12339250033e-05,1.58938789241e-07,0.000156936555868,9.2232676252e-06,0.000126560364151,2.04428283723e-06,0.00230732280761,0.00487736007199,0.000124282436445,1.6531716085e-07,1.28250503622e-05,2.04321768251e-05,0.000331600487698,3.10032987727e-07,3.66810248842e-09,0.00142961670645,4.52821359431e-06,0.000420285883592,1.05580938907e-05,2.76476075669e-05
19,1.66862173501e-06,5.58384130045e-08,1.81607589411e-07,0.999307870865,1.16906628822e-09,1.90967996971e-09,1.5074381281e-06,2.50015563807e-08,1.08403341414e-07,7.35786764849e-10,5.35482399755e-07,1.29758939704e-10,4.7944772632e-06,2.14469597637e-09,1.03585833244e-08,2.77674411242e-10,3.06298431063e-09,6.30698593795e-07,4.23196624411e-08,8.65905676619e-05,1.01995834001e-08,7.30005851324e-08,4.3762041213e-10,2.2482749884e-08,1.10523906471e-07,6.99893520917e-09,1.8773784749e-09,2.97380697845e-09,3.86959797538e-09,1.21491679564e-11,1.50898522406e-05,3.05913971488e-07,6.9044222073e-06,6.81495881949e-09,1.42988199059e-07,1.61403312937e-09,8.24129315902e-08,1.67973325915e-07,1.02948645164e-08,6.9707516559e-07,4.78641801749e-08,4.72254987471e-06,1.11847207052e-07,2.63001948042e-06,3.25318900707e-08,1.21266321003e-05,3.05190468453e-07,2.05011385646e-08,2.1289374777e-11,4.50815773601e-10,8.23529171612e-06,3.34764607146e-08,1.94230665329e-06,1.25038312149e-07,7.12081345e-08,1.36317510169e-07,3.87872560736e-08,1.15727139871e-07,6.84907126924e-06,6.375739936e-09,3.04793593386e-06,3.01612566034e-08,5.68003457602e-08,5.61705970625e-09,1.58929864824e-08,2.36388291341e-06,5.21691245758e-10,8.26217494421e-09,1.25966371343e-05,4.65347948193e-05,4.30225577386e-10,1.06890718499e-08,5.79131687051e-10,1.86122814938e-08,1.7337802305e-08,3.10859178398e-07,4.2665922706e-07,2.06098449418e-09,3.91222521046e-09,2.71308090305e-06,4.05282918337e-09,5.20012372363e-06,7.22368511674e-08,2.23281153922e-06,4.00492098152e-07,0.000269136449788,4.68079224447e-06,2.6677371352e-06,8.73718375427e-10,1.69042237985e-08,1.64607376973e-06,9.29708846797e-07,1.20547785087e-08,7.85041198714e-11,0.000166294892551,1.29814026195e-08,4.66048095404e-06,6.97815778494e-08,8.60627278598e-06
23,1.25159379388e-11,7.95570187506e-09,4.82084194786e-09,4.99457080139e-08,5.72142833111e-10,1.17554291137e-05,5.95391668412e-07,3.45838269133e-09,9.12300096578e-12,1.43842528999e-08,1.00945001056e-12,3.03246294742e-09,3.07436819058e-11,3.15412557184e-11,6.42407524745e-12,2.77800518234e-06,8.71360102128e-12,2.69675282105e-09,1.49941968175e-07,6.93485660008e-08,6.70017166748e-11,1.82765413914e-09,6.85909418152e-09,1.13357671694e-07,3.70092777757e-07,3.14454950967e-08,2.29372354443e-11,4.15700286693e-11,0.999863624573,1.32455768576e-09,8.72860255186e-05,2.62648713542e-12,1.58300661468e-09,1.30430088952e-09,2.93933926088e-08,2.45935893872e-07,1.21025828248e-10,1.64091161992e-07,1.98605687451e-10,7.50904138869e-09,1.46746587104e-10,5.18862896154e-16,3.27045358972e-06,1.3400330845e-09,5.52979828594e-10,2.21213631722e-13,6.40064459767e-11,7.4384320925e-10,1.415945935e-16,5.22287291541e-13,1.80317621945e-10,6.1741536328e-09,2.71495199655e-08,2.57531426739e-11,7.5404971156e-10,6.43696651537e-08,8.33367721498e-08,3.91226819829e-08,1.3577398161e-15,1.38209499401e-10,1.43655265461e-08,1.82714529728e-07,7.42865280401e-09,4.12179048226e-07,2.27317764612e-09,9.68856328498e-10,7.35715204314e-08,6.0103729993e-07,4.17760137594e-09,1.65330511663e-05,2.45701443191e-07,2.19685674097e-07,4.16238643552e-09,9.47610533331e-06,1.29657631853e-10,8.12420852814e-10,2.19633413678e-08,3.7672781561e-10,5.18950604711e-10,1.80888939383e-08,5.77477194952e-08,3.9837453869e-07,1.43147050203e-12,2.69980343637e-10,9.87314882628e-11,5.39341835082e-12,2.65073527572e-08,1.04056050532e-06,3.04472669299e-09,4.3773684677e-10,1.04612396523e-09,1.20010723581e-10,1.28064119309e-08,1.40905180319e-12,5.57607692658e-12,2.77200625735e-13,4.63013378749e-08,5.37743773121e-11,1.19880605443e-09
24,1.21935714859e-08,3.16685998314e-07,1.35103490895e-11,6.37204011777e-10,2.92564239501e-09,1.07215969436e-08,3.10273140514e-10,8.47183261043e-12,3.33033426614e-07,8.22462720151e-09,4.12743415834e-11,1.56606617187e-14,4.96920050681e-13,9.89446914158e-13,1.98774496862e-10,1.63868349445e-10,1.02939020508e-06,1.82282769608e-12,1.40488207005e-13,1.14593454725e-08,2.68095295963e-10,5.99474136997e-10,3.15777297973e-13,2.06331861319e-11,8.98145761322e-14,3.49721814008e-12,8.084015235e-09,4.34491028226e-12,1.34476563457e-13,3.38137720948e-14,1.35126285161e-13,2.78206130133e-06,3.12092481636e-07,1.12494973337e-08,4.52251402994e-10,6.4482642316e-12,1.06823383472e-09,7.1452949113e-10,5.11661513158e-09,1.29743893407e-09,3.21859788821e-10,3.22515205653e-08,9.72922364895e-09,1.46234600492e-13,1.81878012651e-10,1.42876332987e-08,6.26927953995e-10,1.03857789036e-09,5.47721679243e-16,2.8176291595e-12,1.54138105057e-10,1.29474381083e-06,4.21371786205e-14,5.21969789711e-14,2.67986882685e-10,2.33582442277e-09,3.37428446295e-10,1.24227425222e-11,4.07107784983e-11,1.97682112457e-07,9.9896297831e-12,6.89243037644e-11,2.75592027497e-12,8.9755508581e-10,1.94169338386e-08,4.16037725104e-11,5.05840551737e-12,2.36577549001e-13,1.55769086518e-08,6.54103993192e-10,6.59154873153e-14,3.49216575796e-12,1.07356301626e-09,5.10249286399e-13,7.00344173765e-07,5.22280796389e-09,7.93020371592e-11,2.46516890234e-10,1.4538208859e-07,3.62507745176e-12,1.20666410197e-09,1.08724687239e-11,5.03668842744e-11,1.81210782557e-06,0.999990344048,2.53694136011e-12,3.71780582123e-14,5.86494602883e-11,9.88659362711e-11,2.53982707261e-12,6.1250650385e-11,2.58189719604e-11,1.21020320501e-11,7.87504996381e-15,3.97605134594e-07,1.36037278664e-10,1.35083513386e-13,4.88714124725e-10,7.61073322419e-12
28,1.0570062841e-05,6.62376123728e-06,7.22971793543e-10,1.33916486789e-07,3.8019271642e-07,6.33627017521e-09,1.29105714564e-07,1.09984193841e-06,0.999089121819,3.4640121882e-09,7.67141136748e-06,4.20619095109e-09,1.99121268452e-06,5.49395640093e-10,3.98690559678e-07,4.176083368e-10,1.30188504954e-06,8.84807782597e-09,1.62880306465e-10,5.27766758296e-07,8.73307737237e-09,2.87618900918e-10,7.24775274519e-13,1.03112830774e-11,6.91460777524e-11,1.74772404882e-10,3.99023347697e-09,1.56464142857e-12,9.29713077358e-12,7.13123340219e-14,2.29754704151e-09,1.62644464563e-09,5.41885398775e-08,2.33164723085e-08,6.25824045364e-11,5.99173262117e-08,2.79141445202e-12,7.17181425358e-10,6.23664531477e-12,2.56059590198e-10,1.71598735221e-10,1.38830973384e-08,1.3174666913e-09,3.51885395822e-11,1.96216598525e-09,2.42672465456e-10,9.21891452066e-10,2.23362148222e-10,9.19568088342e-10,1.80444672537e-08,1.33969946248e-10,1.49417214712e-10,2.66621169587e-10,3.33853389378e-09,3.16934062328e-10,2.26859253605e-10,5.24160270743e-09,1.70305575198e-10,8.34991624454e-12,8.50310169498e-11,1.30350119587e-10,1.42771391931e-10,7.52252260483e-10,5.19475440441e-09,1.86640769506e-09,6.52131459944e-09,1.62169739443e-11,2.2516755821e-11,1.29116735081e-08,7.1664714163e-09,2.79423771447e-12,2.87593282522e-09,1.55230325122e-11,1.54845758438e-09,7.48192050537e-08,8.35663716003e-09,8.71818936488e-11,5.22887566579e-11,6.41853370453e-09,1.51670065396e-10,1.67721374567e-08,5.90947221712e-11,8.29841612093e-11,3.06854104792e-07,3.51439751967e-07,3.99030941622e-09,2.03585170944e-09,8.88343232308e-10,5.87716680878e-11,3.12647358669e-07,1.46946554924e-09,7.893850551e-08,2.02526684312e-09,4.64072371642e-08,0.000878386257682,1.37132246891e-07,5.00743500484e-12,1.22482801679e-09,8.59939319753e-08
