id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,6.59233778677e-10,5.71373059977e-10,1.3369141948e-12,2.02353174217e-08,3.54895245136e-11,1.21818928642e-12,2.04186507654e-13,1.99044686983e-12,2.34527479902e-12,5.14442759225e-11,5.36961898556e-11,3.28224614154e-10,2.14352785521e-10,2.53229187619e-10,1.71204179306e-11,6.64487171884e-12,1.15256137967e-10,2.30292727162e-13,1.19262738574e-10,3.84698729036e-13,2.62627503078e-10,2.18663906426e-10,2.95468233213e-10,3.730943679e-11,1.23609985095e-11,1.29461068601e-12,1.12508223538e-06,1.46588421401e-08,1.58441981757e-10,1.5278819987e-08,2.96595891293e-13,2.02598315902e-09,3.43190853513e-09,2.62642174675e-09,3.59580880627e-08,2.10803371287e-11,6.50508269473e-09,3.70165703645e-10,1.99648212629e-07,2.33818671092e-08,9.32441081812e-13,9.37469546436e-10,1.47771517245e-10,3.00167811614e-12,1.2203353883e-09,4.98269470128e-09,2.73520799965e-06,3.05642382063e-12,1.97832944471e-10,6.80272643772e-11,1.84487678467e-08,0.999846696854,6.3995531964e-13,1.16402576467e-09,8.80222353339e-11,3.81935024052e-06,1.50270898303e-06,9.06382954802e-11,7.63468288589e-10,1.99658567457e-10,1.20817633675e-09,9.83157912721e-12,1.5144087373e-11,3.4118516931e-13,2.37125896092e-05,9.41448394937e-12,3.02185720891e-09,4.39720362986e-13,1.08401239374e-10,1.86440127226e-10,2.14856864938e-12,8.81401687747e-11,4.36734329257e-11,9.11462338981e-15,4.27160529171e-07,1.92983562464e-09,2.19547456929e-13,1.48330585148e-07,6.04117940384e-06,2.89032322381e-11,4.15396217424e-10,2.45649448049e-13,5.45357758952e-10,0.000112687332148,7.30014733108e-07,2.94635739417e-11,4.93491864398e-14,1.09252065728e-10,3.7319814794e-08,7.44806993858e-11,9.69801838835e-09,1.73141431747e-10,1.37598374535e-12,1.93619106859e-10,1.84940448372e-11,3.38848879511e-11,1.94126247195e-12,2.5501067924e-08,1.55107827624e-12
7,1.35131841697e-14,6.22108538729e-13,2.22477036793e-11,8.78145733907e-09,1.1765767058e-14,1.08418786102e-11,2.8543714059e-09,5.09060939832e-14,8.41102957682e-13,2.21926465005e-15,8.53266567645e-14,2.71965101535e-14,1.23538171405e-14,3.53202506847e-14,8.5482801393e-12,1.8538274892e-14,8.65940213415e-14,3.71525830933e-11,3.28307293732e-14,5.21143458249e-12,2.15594577781e-12,6.43519742702e-13,1.60240351261e-13,2.90992341443e-14,3.43566836222e-13,1.34357424885e-15,5.75973405255e-13,1.7773499339e-09,5.69855143975e-13,1.66931440594e-14,1.62180024185e-12,3.69937656897e-11,1.27003063014e-13,1.2169105301e-15,5.02791897006e-09,4.77738034137e-14,3.23830939841e-09,1.01084743874e-12,6.78010772526e-12,8.2777242838e-09,3.78826033043e-11,2.16209515569e-11,6.89921453301e-11,2.52674021029e-13,2.10445745032e-12,1.25653133731e-11,6.53087935294e-13,2.95668281525e-11,3.00688728872e-16,1.75467893694e-15,0.999999523163,5.65173081946e-11,1.898941282e-10,1.05427089281e-09,5.28359924849e-15,9.93822316109e-11,3.99714072605e-12,3.06291281227e-09,8.18171130845e-08,2.7665751634e-11,1.3505184384e-12,1.4487219543e-14,4.69409671621e-16,4.86235062088e-14,1.81195388554e-11,9.66678129823e-15,3.38808217593e-11,1.44802182397e-12,6.59389487456e-11,4.69564689354e-08,5.79369146259e-17,4.55052933269e-14,1.30131628333e-14,3.87380099922e-15,3.52007898165e-15,3.02769181254e-12,5.1778146215e-09,1.03578708111e-11,3.37837230413e-10,1.11984491233e-13,9.18261370804e-14,1.12581964584e-10,4.06110132189e-08,1.82701384688e-07,5.84936632464e-09,2.45293347266e-12,8.57657556086e-10,1.099204755e-11,1.35909621231e-14,1.35254793476e-11,2.58753708428e-14,1.74833997106e-13,1.42271253711e-15,1.68005247555e-15,1.34952017561e-07,1.85656542223e-11,1.17356013796e-10,3.78575724371e-13,1.0519613609e-12
9,3.02918690132e-10,0.995341777802,2.13212531398e-13,1.66067659688e-15,0.00465091969818,8.4064560868e-11,6.5785597354e-15,7.45046691009e-10,4.45696882179e-11,7.02927536622e-06,1.88141559623e-12,8.655008088e-08,9.13923436929e-10,5.32311044202e-12,1.13280938449e-11,2.46647202662e-10,1.44923518519e-07,3.28739368626e-13,1.71217470757e-10,3.95323596081e-08,9.7410313149e-10,1.58299449937e-11,1.50561244787e-13,6.49575066045e-13,4.15768070336e-15,5.0934101381e-10,9.64000324011e-10,6.15964985045e-15,1.69075116321e-12,4.24350428386e-14,7.25023882077e-13,3.46520467214e-14,2.3489476423e-12,8.79402311334e-15,7.82520715706e-15,1.10508937071e-11,3.4839068208e-14,3.65690894233e-10,8.53033193127e-13,9.09846586961e-10,1.30396761097e-11,2.22610948094e-14,5.68903580386e-15,2.98424027468e-16,9.40658900599e-13,1.74203389971e-16,2.120985323e-15,7.04113656269e-10,4.22553592117e-09,2.76813793242e-12,5.84430498991e-17,4.11582400106e-11,6.04885878799e-15,8.42182118314e-13,1.9645741197e-12,2.8210710241e-16,2.98296887191e-10,9.59033477632e-11,1.16203171014e-14,6.39221423189e-13,1.69298006603e-13,5.88232816656e-17,5.94093838794e-13,4.33552777013e-10,3.64836563738e-11,2.66062519239e-12,1.21314481898e-12,8.29487877362e-16,1.07300770035e-14,1.03372163463e-14,9.73054319411e-13,2.65516303388e-10,3.57941562674e-12,1.17014593002e-13,2.2777598474e-08,2.75556877663e-12,4.97463296955e-14,2.17176452467e-14,2.05545233611e-10,1.96019094104e-16,2.60510259198e-11,2.32080759504e-15,1.16452840752e-13,2.90758492586e-13,6.58878767518e-13,4.84651678789e-08,1.32322417641e-15,2.33141596306e-11,3.14615250085e-13,7.01484925703e-10,2.92252439536e-17,7.63273038523e-12,1.45808149896e-14,2.18852475205e-12,6.23630379108e-14,4.72141936658e-10,1.62508793586e-14,1.41353864377e-11,2.41806075163e-10
12,2.65523089626e-11,0.00353872729465,2.23531998467e-10,1.39830052918e-12,1.91115489656e-07,5.42368754075e-12,1.75988196238e-10,1.22383436718e-09,1.04950048652e-08,0.000116501629236,1.54393355739e-11,8.69750408583e-07,2.75785474457e-08,0.000126920320326,7.01080971055e-09,3.24315817257e-11,1.22700838379e-09,2.00127772132e-08,1.50579784752e-10,0.513121545315,3.30666952153e-11,7.17950907059e-11,4.56498927548e-09,5.43883549309e-11,3.02441099942e-10,3.58946067314e-10,6.93329571533e-09,1.52976450951e-10,1.58383794968e-09,3.72214703503e-10,2.67468251991e-08,6.43755448254e-13,1.36589539679e-09,2.48473359943e-11,3.32128519132e-10,8.50328000287e-13,2.36295510936e-10,9.37963520187e-08,1.18506714858e-11,6.50458464868e-10,1.70639520292e-08,3.67489372266e-12,1.18542883842e-11,2.85498648377e-13,8.86292872426e-10,2.61755790654e-11,3.6217827782e-14,0.483087867498,6.56357670437e-08,5.89776491533e-12,5.81712802927e-11,1.33417677947e-11,1.80437696035e-11,1.73382974644e-11,2.41143232769e-13,2.15638184392e-12,2.42493292113e-09,2.97735567756e-07,1.22930818303e-10,6.53851750521e-10,1.70663427834e-10,4.3195776681e-14,3.02458080283e-12,6.73435181398e-07,2.93249058814e-07,4.03144965327e-12,8.40104860678e-11,3.10722940433e-11,5.50504390337e-12,3.50569020428e-13,5.18907790001e-12,9.3242846777e-10,2.25754555024e-13,4.08747792557e-11,1.25095844794e-09,7.80817771551e-11,2.34056957843e-12,3.52319784458e-10,4.56899629242e-09,1.11683631093e-11,2.27414588494e-07,9.07870401079e-09,2.53784798732e-10,1.06837827474e-09,3.66565527932e-11,2.04877679266e-07,4.31909629589e-12,1.1091140506e-10,5.47620239086e-12,6.83600287488e-10,3.76906578864e-12,2.93352807323e-11,1.46798927181e-11,3.10578535112e-10,2.83024419873e-11,4.30899217463e-06,9.27170229481e-10,1.34034491839e-10,1.04598427697e-06
13,5.21972438605e-08,3.15796057748e-07,7.8993848138e-13,3.11082886881e-12,3.77391629058e-08,1.39999589612e-12,1.28052701776e-09,3.09352827799e-08,1.90374485101e-05,4.71823717874e-08,8.07936356706e-12,1.27370421978e-05,3.59931071614e-08,1.94320168845e-08,0.999935150146,1.10255587212e-12,3.66933676332e-07,1.25570187581e-09,9.28915999676e-10,3.68921226901e-10,3.39423399964e-06,1.97648928474e-11,3.28650995307e-09,3.46008666163e-10,8.77735495397e-10,2.70309209044e-11,4.98702945606e-07,6.92663371105e-10,1.198836308e-10,6.35452953278e-13,4.91232725883e-14,1.43010942173e-13,2.31809336266e-13,3.29676200618e-13,8.11580945677e-13,3.99958649533e-10,2.48909382689e-11,2.06028000216e-10,3.66791069739e-10,1.11882725307e-09,3.52216478205e-10,4.43524210414e-11,1.29005638637e-12,9.51040288188e-11,1.26468531828e-11,6.66828246267e-14,1.09622692326e-13,2.06524641833e-09,6.44115738524e-09,3.11136929554e-08,5.07824712186e-14,1.99190750699e-11,9.63271389737e-12,2.10675379919e-10,2.22360779963e-12,1.04102524398e-13,1.67172509169e-09,6.97238988767e-10,2.12805759126e-10,6.35378805125e-10,1.60598964682e-10,2.6415467036e-12,1.00655572766e-08,8.77778688846e-07,1.97495284016e-10,2.83040041058e-12,2.28947634184e-08,2.60902081189e-11,2.75869089942e-13,5.08164621493e-11,6.04227171769e-12,2.94627284347e-07,9.9624588093e-12,1.93402021828e-12,1.32814378162e-07,6.7589610124e-12,7.79110317928e-11,2.88434764961e-09,2.1476873826e-06,9.75863053559e-12,1.52410812859e-08,2.56387142419e-12,6.05849805879e-08,6.95185420341e-08,9.79635816911e-12,2.40929942663e-10,9.65353404853e-12,5.77918442268e-12,3.92651156034e-09,4.96053553434e-06,1.2266392329e-13,4.70952699061e-07,2.0643766644e-12,3.58899541197e-07,2.16977727452e-10,1.87851037481e-05,1.07251471593e-10,1.41935119213e-09,1.54387044815e-10
16,1.49134802996e-06,1.05312246035e-07,1.07068296984e-06,0.942774653435,5.4867630439e-08,9.68731672657e-09,6.09475864621e-05,4.53649590781e-06,2.99393889236e-07,3.8083394216e-09,2.03200079341e-06,1.76278390995e-07,4.52460335509e-05,7.45654062939e-08,2.46297349804e-06,9.24112342204e-10,3.58671989886e-08,0.000201582239242,0.000283093191683,8.22546439849e-07,3.46289624531e-07,9.21561067457e-08,6.2120896871e-08,1.17007083134e-07,1.11836607175e-05,4.43682267814e-07,2.69958877652e-06,4.72871543025e-05,5.31398853809e-08,1.8768352561e-07,3.34030846716e-05,2.0421211957e-05,0.000115799688501,6.60244747763e-09,2.45855353569e-05,2.97798635529e-07,7.84916774137e-05,2.35850689023e-06,1.04473622287e-06,9.20638740354e-06,0.000499658402987,3.93156078644e-05,5.54854182155e-07,0.00285523245111,3.43220949617e-06,6.29673013464e-05,1.53420103288e-07,1.19080659999e-07,8.96965730135e-07,9.76209435066e-07,0.000434249668615,2.57550993865e-07,3.33415009663e-05,5.28097586994e-07,3.88363154968e-08,2.47724756264e-07,6.23825897605e-08,5.85480265727e-05,0.0235310159624,2.48787932833e-06,3.1717827369e-05,3.4125463344e-07,8.9165649797e-07,2.67771724793e-06,3.14560850256e-07,4.55007466371e-06,2.99266275761e-07,9.344065802e-06,0.000164325916558,0.00132500310428,8.51257997425e-09,5.71951943584e-07,3.32662715152e-08,6.41752740194e-06,4.24265671484e-08,8.35575792735e-06,0.000390241504647,1.79829768854e-07,4.50241159911e-08,2.26931774705e-06,1.65074336422e-08,0.000447368831374,0.00286389910616,1.77582878678e-05,7.60247615972e-08,0.000368742097635,0.0204837378114,1.14603435577e-05,3.59021079532e-08,0.000933887320571,0.000359349272912,1.10989140012e-05,1.4856705377e-07,3.69578197024e-06,0.000977510586381,4.69188671559e-06,0.000314883363899,1.62533706316e-06,1.55073735186e-06
19,2.3057657117e-08,1.81039965241e-08,2.39827091519e-08,0.999382257462,7.67113705891e-10,4.15547124488e-10,1.14336138779e-07,2.49618525849e-09,1.36205879908e-09,2.9007596325e-10,4.95952065194e-07,8.06978128765e-09,4.46147708999e-07,5.80619330393e-10,5.45968337207e-09,4.58012724969e-11,2.94419422175e-09,2.0922271915e-07,1.28861574922e-06,8.46650465292e-08,9.26418231018e-09,9.07444963616e-09,3.11487124982e-09,8.4236706499e-09,9.8039485863e-08,3.58297991276e-09,3.67845878202e-08,1.07329810817e-07,5.22293852612e-09,1.61521960251e-08,4.50251491202e-07,3.83578662877e-06,9.02717965801e-06,2.09141204355e-10,9.75446823759e-07,2.6858526514e-09,4.14503847423e-06,4.57431958978e-08,1.41976626011e-08,1.26685665691e-06,2.68364857448e-07,6.35985429653e-07,1.46238354759e-08,1.15025534342e-06,4.0697646142e-08,9.05939214135e-06,1.73988667029e-07,1.85848869627e-09,3.42120598518e-09,7.71436248215e-10,0.000271585624432,2.06612511988e-07,1.0879821275e-06,4.22976356163e-08,3.78836029213e-09,2.76430114354e-07,7.1102689958e-08,2.61910635402e-08,0.000115900729725,2.42444656351e-07,5.50703771296e-06,9.88183090911e-10,1.65606350855e-09,1.27847221698e-09,9.20561546991e-07,1.29438049612e-07,3.91293646373e-08,2.78237202167e-08,3.58938768841e-06,1.99559490284e-05,1.59379287545e-10,6.23394091903e-09,5.78918579741e-10,5.88025406145e-09,3.87999632423e-09,8.85618334223e-08,8.48431511713e-07,8.71312444417e-09,1.0525857963e-09,7.93978216507e-08,2.76798223231e-10,1.36907974593e-05,3.86387682738e-06,3.77561968889e-06,2.67564445267e-07,2.24485143008e-06,7.5472471508e-06,3.84983536605e-07,7.0291400478e-10,4.31824474845e-07,1.94433619072e-06,2.18835349841e-08,1.88453941341e-09,9.06761510322e-09,0.000123347577755,5.31868593612e-08,4.81096640215e-06,1.03911350635e-08,3.63775228607e-07
23,3.31206195803e-09,5.35059200502e-07,2.66860187281e-08,1.36370613291e-06,3.20178628499e-07,9.66243646872e-07,2.62391012029e-07,4.40417160519e-08,1.28629468188e-10,4.26456210789e-07,1.64607893982e-09,3.72120325665e-07,1.9219557057e-09,1.23738228552e-08,3.37389671756e-09,1.47065946976e-07,1.34403121965e-09,1.09904849666e-08,7.73090391704e-08,9.3697281045e-09,2.00320812382e-07,8.1003257435e-08,6.13226120549e-07,7.58419460567e-08,2.82816404251e-06,2.12820765455e-08,9.67305346933e-10,6.75100242375e-09,0.999810159206,3.55856027454e-05,2.65551097982e-05,6.00460015043e-10,3.90160472818e-08,1.07161646223e-09,8.80647007762e-07,9.30451662384e-08,3.75646145301e-08,1.42278409498e-07,3.25246602983e-08,8.80293555383e-07,5.88693316317e-10,3.75037587791e-12,3.49463675775e-07,3.9473220248e-09,7.56154250325e-09,1.05210437584e-10,2.87959114331e-08,8.54230242098e-10,2.0451544902e-09,8.66687077661e-09,1.08031499622e-05,3.12741434527e-07,6.23328105576e-07,5.53660299829e-07,2.58346288806e-10,2.9031093618e-06,8.59376541484e-06,3.13885806236e-07,1.17183835968e-08,2.52721155114e-09,2.79064948927e-08,9.6804217975e-09,6.32693764047e-09,1.11081668308e-08,1.7889962578e-07,3.52020190775e-09,1.32383968321e-06,1.52929501951e-07,2.35728414566e-08,6.96683127899e-05,1.81101427188e-06,1.37919175813e-06,7.09976788471e-09,9.84755274658e-07,3.61134633309e-09,1.28469253013e-08,2.34145829836e-07,1.04074482365e-08,7.68542651741e-09,2.03141155453e-07,5.97724510953e-06,3.0410905083e-07,6.17215167864e-09,1.79585342153e-08,3.79413549467e-08,1.57537556333e-07,3.26914829429e-07,6.67314361635e-06,1.56611057456e-09,1.76472656221e-06,7.3899518449e-11,7.54217694521e-07,1.00927735502e-07,8.46847314495e-10,1.25547137131e-08,2.20491944147e-10,6.73147781072e-07,1.30658150965e-09,6.14777491137e-08
24,2.9708803595e-06,4.23280575035e-08,1.21692100841e-10,1.11889975063e-09,7.4806960626e-10,3.4336591348e-09,3.70513125389e-12,1.76063816304e-10,2.17524711843e-06,2.23357909945e-09,8.64684226998e-11,6.97664287452e-11,6.06948796777e-11,2.24876779524e-12,1.15469153336e-11,9.49961029978e-12,1.54998822666e-08,1.39786071607e-09,2.54397388572e-11,8.95085250363e-09,3.67207242391e-08,1.66703868591e-12,3.10246620061e-13,3.42003714845e-13,1.09944944316e-13,7.82671402867e-15,8.68127347786e-09,7.90863818878e-10,1.87294776043e-12,1.32541547182e-13,1.20576842578e-14,1.88900273201e-08,1.840568018e-07,2.98046615166e-10,3.2447593501e-09,4.04657725514e-14,1.70352912332e-10,9.34338459047e-06,1.79186567806e-08,9.78571392807e-08,4.26963020494e-10,1.22203021036e-08,1.36628555691e-11,2.83593661114e-14,4.62568004733e-12,2.37636086808e-07,2.32011718865e-11,2.17674323011e-08,6.70037247907e-10,1.85503019196e-11,3.96303795336e-10,4.96008794926e-07,4.64739965261e-12,6.2621121396e-13,1.24012600189e-09,2.72143224622e-10,1.46544148344e-11,4.18149126435e-11,1.09673628401e-07,0.000282664084807,1.58724389188e-09,5.28841081915e-15,5.10574215014e-14,1.20025747696e-13,3.70373087755e-09,2.83089995889e-10,5.4077207122e-12,3.86737422143e-14,1.8062586149e-10,1.29578203723e-09,3.4453410719e-14,8.29801644064e-11,3.66390216777e-11,2.42716634585e-15,3.23231286181e-09,9.87453896428e-10,1.83238988427e-08,3.23584236663e-12,5.2331319722e-08,1.48894311052e-13,1.99306376958e-10,1.7314732547e-12,1.03856012679e-09,3.01908968936e-08,0.999700546265,4.26913526752e-09,8.24227432182e-14,5.33709118566e-11,7.47295888365e-12,1.97405469748e-08,5.07009607909e-11,1.42530449249e-11,8.78892905719e-14,5.33686159501e-13,8.52264804507e-07,3.6061617692e-08,8.0074036052e-14,1.18965601259e-11,2.74840350131e-12
28,4.72776349625e-07,2.46741560517e-09,1.13887003994e-10,2.25423502087e-09,4.19300638654e-09,2.4628944717e-11,9.84706982621e-09,1.21558969113e-07,0.998997747898,1.00120432778e-12,7.69395924749e-09,1.11429108995e-10,2.00439327358e-08,7.72076239747e-12,5.21896792449e-09,7.5533587089e-15,7.33090532723e-10,6.53016840602e-08,6.01469360428e-11,2.59374766109e-09,1.43633833716e-08,2.76310380555e-14,5.12700699698e-15,2.83593110543e-15,8.53072156643e-14,4.26508829272e-15,3.82519753719e-12,1.64226542521e-12,1.14376349646e-14,3.19341649038e-15,1.4049686707e-13,5.5815678468e-11,1.05306008358e-09,5.97503643784e-12,3.43983244666e-11,1.59829913193e-10,1.29728625303e-13,5.68574354265e-10,5.05720031824e-13,1.04998697237e-10,3.72868791398e-10,2.11838394049e-10,4.14016824296e-12,2.25386481939e-13,2.08956584674e-11,1.42826206417e-09,5.21299269959e-15,4.49016490656e-10,2.35655273073e-10,6.80550227283e-10,7.18533197351e-13,2.14034562643e-12,5.74001263187e-12,1.10340278581e-11,6.58647886665e-13,2.34331813936e-13,3.26527325144e-13,1.19606356069e-11,7.89044163341e-10,6.89028611944e-09,1.72956982937e-12,7.39534460671e-16,1.18656610416e-14,1.07798492355e-10,3.11372906625e-11,4.78430229461e-12,2.92784866447e-13,4.28227332067e-14,7.04575772725e-11,9.82217307488e-10,5.92318323905e-15,1.35506683999e-11,9.92768421724e-14,8.87396980984e-13,5.9139602937e-11,1.91663677117e-12,1.71439099028e-10,1.26735475142e-14,3.39100969526e-10,3.48315058979e-14,3.68358017699e-11,1.90982364472e-12,1.29672796945e-08,1.07954922779e-09,7.45798516277e-08,2.91759429116e-11,1.46981815607e-10,6.24926488595e-13,2.94418250901e-14,9.14448810363e-06,5.96520879567e-12,5.32920318985e-10,1.30375927068e-11,2.52245406784e-08,0.000992237706669,1.05125650407e-08,2.30945244075e-14,1.4775294703e-12,1.83674100235e-11
