id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.2424946917e-08,2.47834945744e-08,6.1001189703e-11,1.78398358032e-06,1.36600546737e-07,3.9711827876e-08,7.26808517554e-11,1.94561615333e-09,2.2396769694e-09,1.19122011255e-06,8.10578285998e-06,1.63984612357e-10,4.34397035083e-10,7.52192565988e-08,7.92977201645e-07,1.54759391688e-08,2.91995122698e-05,2.54955822064e-11,4.27025894092e-07,1.74622036649e-09,3.71985852998e-06,3.23996082223e-08,1.14521849127e-05,2.26727867523e-10,3.20259768937e-10,1.01408400178e-09,0.000235907523464,1.35780778972e-06,2.84934630646e-08,4.43340764959e-08,1.40427593715e-14,7.22254257911e-05,1.38981868013e-05,4.78189187373e-05,1.47410781527e-09,4.76051566537e-06,3.11830236485e-08,5.32445366465e-16,1.95174074448e-07,4.54043527302e-10,1.72571093255e-14,5.69591212851e-07,2.36701320288e-08,2.65618341043e-10,1.22222883237e-06,2.03011448443e-08,0.00103889709823,5.89676242333e-14,4.66220833731e-11,1.52864607755e-06,1.14806222791e-07,0.997095442232,1.29514433559e-09,9.37197788954e-06,9.13144264737e-07,3.62148968317e-05,5.57632638044e-05,5.82499840648e-13,1.18167989005e-11,4.536595461e-09,9.41886198789e-08,7.05018200554e-08,9.62468394507e-08,8.77471445964e-09,0.000303219666193,1.18691405784e-07,1.32947510731e-06,5.90803138152e-14,8.31232304512e-10,2.33422447877e-07,3.25473401901e-10,1.06500801335e-10,2.49103466715e-06,7.87552355828e-12,0.0002557993738,4.93181746942e-05,1.0203987608e-12,1.55128853011e-07,0.000181167932615,6.3127885449e-08,4.75817090651e-06,2.02079463185e-12,1.47148802982e-13,0.000190276418983,0.000204327744245,7.7968797073e-12,2.99687722234e-12,1.97917246101e-13,0.000128610645522,5.60437179118e-12,1.05007391506e-07,8.0938046108e-08,6.38809680537e-09,8.10241056634e-07,2.6640377534e-10,5.44094125375e-11,2.01452735368e-12,3.48139876685e-06,7.78572225013e-10
7,1.1546624709e-08,5.27818916053e-08,1.76762675e-06,1.02391854084e-05,3.9407124117e-08,1.19317988453e-07,6.55832372817e-05,2.36898242824e-08,4.28044636595e-08,1.4854174128e-07,7.88959495827e-10,9.45990071522e-09,3.12899818811e-09,2.57530612836e-08,1.90816290496e-07,4.26101251428e-08,3.47239426417e-09,6.23318461784e-06,1.77887176158e-08,3.17348367835e-05,1.80247530896e-07,3.10010077032e-09,6.91634803838e-08,3.20124559308e-09,3.91060142111e-08,4.77775738147e-09,4.79005820905e-07,9.86899582537e-07,4.96019327145e-08,3.2671131388e-10,1.18646694269e-07,2.60403865236e-07,8.93465851363e-08,3.00439330632e-08,5.96994377109e-07,2.88733910128e-09,6.36337526838e-05,6.43056960476e-09,8.7628460377e-07,1.62117215249e-06,5.46610148142e-07,9.03173096375e-07,1.5573057008e-06,1.29317438921e-06,2.69284233348e-08,1.10062050448e-05,8.08811717892e-10,6.49468404899e-05,1.06060073505e-07,4.48040182842e-09,0.999013915822,1.10247259884e-08,2.06808088523e-07,1.85930288402e-06,1.64501437253e-06,2.282766991e-06,1.09580417362e-08,3.47895440984e-07,3.62304677384e-06,1.63275175471e-06,1.07430424809e-06,5.95719660891e-07,1.5130774939e-08,9.09145296756e-06,2.42764991373e-10,3.45408182101e-08,6.73563406672e-09,5.97399361769e-08,1.74287970107e-06,0.000581744240552,2.89840381291e-10,1.80083090584e-09,6.85738122045e-09,1.68630017149e-07,1.36347687146e-11,4.81634563471e-09,2.69623915722e-05,8.60990672345e-08,1.44633430087e-07,2.22260526227e-06,1.32638366447e-07,1.65425095935e-07,4.61781852398e-06,1.36237459328e-05,2.45198814293e-06,6.07134057678e-07,2.20332093992e-06,1.09847666516e-05,6.47740670617e-11,2.30490713078e-07,3.97229752085e-07,8.11253598785e-09,1.56683376205e-09,3.5844886396e-11,2.58525752888e-05,1.31233595167e-07,2.31001988616e-05,2.49092085091e-09,2.57689173701e-07
9,1.3207075675e-06,0.993661301144,5.40643471834e-07,1.00883973284e-07,0.00399088225366,7.08443970929e-06,4.45615455573e-07,5.89446671022e-05,0.000415943977937,8.29178732058e-05,7.03341942817e-07,0.000475894127352,2.83127391665e-07,3.09696731407e-06,4.52059190399e-05,4.24633655985e-05,0.000500438602512,2.11739738756e-09,3.63294096468e-07,1.31127640497e-05,4.54384525639e-07,1.91345688976e-07,1.79556317117e-09,1.46002217267e-09,1.29448039989e-09,1.24558375248e-05,3.48003464234e-05,5.69065852584e-10,4.44460185411e-08,8.54423609175e-08,2.35691817564e-09,1.76088455971e-07,3.20771359967e-05,4.55641109946e-05,4.07095456475e-10,4.14682746611e-05,8.05115386422e-09,1.04977259521e-10,1.50448249056e-08,3.91334124904e-07,9.21074230569e-10,1.34311346464e-07,3.15656252998e-08,2.33264530474e-09,1.59160921857e-06,5.42979898949e-09,1.85070021475e-08,9.45051646141e-08,5.42360378417e-06,1.43505593277e-05,1.2766328828e-08,1.50373623528e-09,7.57820614775e-08,8.13041604262e-07,7.49132163996e-07,6.256499618e-08,5.79619287708e-06,3.93638156149e-09,6.71876774642e-10,2.35218715798e-08,9.89508168283e-07,4.58119615187e-09,8.17055806172e-07,6.51640947281e-07,3.04238534953e-07,2.17448447683e-07,6.85904015211e-07,3.44505853157e-10,7.53702724823e-10,1.55451484389e-06,1.47319930693e-07,2.08870449427e-07,2.2479054717e-07,4.67835201193e-05,1.40938373892e-06,6.43302449114e-07,1.05972569373e-09,2.52128208704e-07,1.49834847852e-06,8.60516762499e-07,8.58408155998e-07,5.7681685579e-11,4.10464174509e-11,6.26462375967e-07,1.94347413775e-06,1.01942335512e-05,9.38479186027e-09,3.0709662342e-08,6.88101869263e-08,2.07516182148e-06,9.88264459715e-08,1.15336126371e-06,6.49286393379e-07,5.00007197354e-07,1.63653808785e-08,4.16987343975e-06,6.7004258687e-10,8.74741240632e-08,0.00042228403949
12,8.87819206472e-07,0.00981423327615,1.56247270127e-06,9.35742530894e-07,9.14151467923e-06,9.58608937172e-08,0.000241203942261,7.51850029453e-05,0.000265467975107,0.000206834017931,5.12142254739e-08,0.000376931190775,0.000313121183157,0.0139182924987,0.000202997350053,4.3444112696e-05,6.22026546178e-07,0.000220724366317,4.0853748765e-07,0.905101967518,1.55817957761e-05,1.74169261532e-09,1.42208602951e-06,3.27015064827e-09,1.06859830694e-07,5.77281717208e-08,0.000315836124337,4.16251257197e-07,1.12228581725e-08,2.14341884316e-09,1.01536009516e-08,6.69820401426e-08,7.48251975756e-06,2.89745447712e-06,7.88016639009e-09,5.76803697182e-07,3.29527694009e-05,9.28199255621e-08,9.43832570258e-07,9.41531390115e-08,1.88067565698e-08,0.000678882559692,1.37817904002e-07,2.94585307372e-07,1.28086828304e-06,9.68964769916e-07,9.45039381121e-09,0.0177152441067,0.000318053738318,5.2283588167e-07,1.08516078946e-05,1.48821862995e-09,6.06892117039e-06,4.62685669364e-06,3.61984201103e-06,2.65087093478e-07,9.46437585585e-09,1.70217521373e-06,3.81121927735e-05,2.78380994207e-06,9.40699140641e-06,2.42964950171e-08,3.15500797759e-05,7.79260784213e-05,4.54940413428e-09,2.42092854289e-06,2.41735050822e-07,3.56227960496e-07,5.50977391076e-08,1.51847254824e-07,2.636624878e-08,1.12491080717e-07,6.28818697143e-09,9.18252615813e-06,1.93979146938e-08,8.28758607802e-07,3.14694227829e-07,6.01287128955e-06,2.97236039384e-06,1.93947279785e-05,7.05234788145e-05,5.38384644465e-08,3.512279123e-06,3.7738330554e-06,3.1719282458e-06,0.000427518411822,3.53844311794e-06,2.02968482589e-06,1.79083467575e-09,2.52339424764e-05,5.01838049219e-07,1.73026550361e-05,8.81223295776e-07,4.93516641509e-07,2.84007038219e-05,0.0470502372553,3.20633894022e-07,6.40230416952e-08,0.00224530481176
13,1.31677338323e-07,3.32259739044e-07,3.13955237832e-10,3.05442663134e-11,2.82008619277e-07,4.27280990431e-10,1.75318289253e-07,9.35408556761e-08,1.2491332797e-05,1.20448241646e-06,3.930091158e-08,0.000640065148562,9.33059662452e-08,1.81063607035e-05,0.999204877568,7.14080794929e-08,1.52960296494e-05,3.97204543776e-09,9.26268130855e-08,7.74692588409e-09,9.2568237385e-07,2.68903203433e-11,1.20877172289e-07,5.34926136073e-11,3.05895830574e-09,1.43522835075e-09,2.21736470407e-07,1.06335508247e-10,8.76362889613e-10,5.37988129417e-11,4.32772459345e-11,3.27074645407e-11,1.70558363092e-09,5.47187268041e-08,7.03429121183e-13,3.54092772385e-07,1.07998163268e-09,1.29468996138e-13,5.99474703465e-09,1.19085547035e-11,5.45902446059e-13,4.31085770857e-09,2.2146800626e-10,8.64719628389e-09,9.76932413431e-10,3.11244444545e-12,1.03575757851e-09,4.69014170891e-08,3.30769058772e-05,1.82485200554e-05,8.86415056559e-11,1.96362031819e-11,5.38991886803e-08,1.32687267862e-07,2.53512314479e-08,3.83151508855e-10,5.11216689124e-10,7.65281676827e-11,4.1928079704e-11,1.27252146984e-09,7.09235342011e-09,3.77340015639e-10,5.26392346221e-09,6.35056230888e-08,2.42792663063e-10,2.22316149567e-10,3.09194293403e-09,1.17889475038e-11,5.8590143719e-11,1.32442817996e-09,7.35844544752e-09,8.57724103546e-08,7.15923011221e-11,2.93789082065e-09,9.5067868497e-08,4.38565066e-09,1.1225331744e-11,4.47560809009e-08,6.48858383284e-08,6.07046365148e-07,3.41156296249e-07,2.07451975775e-12,2.42859684664e-11,1.27116987664e-07,1.36578783669e-09,6.34263593018e-10,1.20522566364e-09,1.65883876836e-11,7.65519307027e-10,1.61519548091e-07,6.46418636721e-10,2.56242879446e-06,1.24253688769e-08,6.88244269485e-06,9.02801830444e-08,4.20257756218e-05,3.03176830017e-09,2.10410462866e-08,1.16335690115e-07
16,0.000149095933325,1.94482491159e-05,0.000101182057368,0.874786531821,2.4403444881e-05,2.28173082006e-06,0.000359338782221,0.000358343253371,3.07029856223e-05,4.86974193007e-06,0.000190482471663,2.35704146961e-05,0.000212614214226,5.08885689425e-05,0.000257174649067,3.33216363698e-05,1.02622872551e-05,0.000512844031223,0.000457068529794,0.00092867425276,0.000168397439654,1.1310472935e-05,4.1689648216e-05,7.24462649114e-07,0.000292433317653,0.000104668449974,0.000513203392147,7.8716050086e-05,2.75080827476e-05,1.81265379779e-07,0.000163786695518,0.000163646752505,0.000462977299998,3.49213637526e-05,5.38950160913e-05,2.51928267596e-05,0.000665102029727,1.17850145949e-06,2.52007886735e-05,2.20333305054e-05,1.41089997481e-05,0.000172916256186,0.000228608975914,0.016117097873,0.000106916167235,0.000423070246941,1.06708435517e-05,3.16935743812e-05,1.10051706975e-05,0.000290350824484,0.00030997331475,4.03246886072e-06,0.0388417021441,7.88800983549e-05,9.94286949119e-06,4.95049733348e-05,1.01162207549e-06,0.000192105815151,0.00357502426018,6.26678413332e-05,0.00088718938034,7.44993249847e-06,0.00186048215484,0.000129123143688,3.93464766192e-07,0.000117583406891,1.30196629763e-05,0.000251668831323,0.000799247057905,0.00150622394496,5.79832840993e-06,3.10501180342e-05,2.28396356347e-06,0.000749052708414,5.03622398558e-08,6.78554540466e-05,7.07095572364e-05,5.84444588157e-05,6.48879486235e-07,0.00413115511353,1.50179587947e-06,0.0024316861227,1.24847024749e-05,0.00236097231649,1.94355312741e-05,0.00128243908312,0.034605380492,3.85317139508e-05,3.42293551178e-07,0.000828787804794,0.00103919731293,0.000282099337856,6.79473922944e-05,9.31954478218e-05,0.00189864709,0.000215367549063,0.00095429335664,0.000231357976968,0.00104575217419
19,0.000115443561996,2.30149763388e-05,0.000103522111355,0.982704570053,5.83855922132e-06,1.98848874125e-06,0.000119753149973,1.44484122882e-05,4.69160413261e-06,3.10806677226e-06,0.000314746651803,3.1046928315e-06,0.000298151014158,7.42207653646e-06,2.01466807702e-05,1.602985875e-05,8.77216933864e-06,1.13005209445e-05,0.000100457743244,0.000240886302275,0.000158503893661,6.19488522966e-06,3.62148595939e-06,1.49889202762e-06,3.85654074599e-05,3.17491486878e-05,1.96126824501e-05,2.39575797256e-06,3.0241839308e-05,3.56950662204e-07,4.90906063017e-05,0.000271138236246,0.000404716506419,6.09241764545e-06,4.3011022073e-06,9.34985817578e-06,0.000143464550144,7.17236609392e-07,3.76982820485e-05,2.14425388419e-05,4.28789304084e-07,6.62374987326e-05,2.96266610037e-05,0.000888475457311,5.98094053359e-05,0.000148201254251,8.9038889133e-06,4.2583267969e-06,2.66019773509e-06,2.72805288046e-05,0.000881367484351,3.96680083195e-06,0.000526806594186,3.48306384827e-05,4.47644966189e-06,3.8330984477e-05,1.79889515725e-06,7.01928245002e-06,0.000325773168939,1.40003352289e-05,0.000955293647855,3.79922856321e-06,6.50014121965e-05,1.8838708297e-05,3.16861324168e-06,0.000571440343292,1.51015799572e-06,9.35690629792e-06,0.00128853449772,0.000443871715887,1.37093450091e-06,2.64836904076e-06,4.58212558294e-07,3.33996243793e-05,2.03601369638e-08,9.73092057693e-06,8.59138516921e-05,1.18946226708e-05,1.29809192084e-07,0.000745690607782,9.02903740188e-07,0.000386214810336,2.20752290675e-06,3.41700058644e-05,4.01174539107e-05,0.000256115213461,0.000336492838368,0.000120997289812,1.94264523811e-08,3.4739172013e-05,0.000433527865718,0.000104277430836,3.88539293378e-05,9.56715577585e-06,0.00370736270055,7.49132611931e-06,9.71165275615e-05,1.34850813925e-05,0.00169186718785
23,3.72679822251e-10,1.48468315268e-06,1.37879195698e-06,7.02941525389e-07,6.14086307703e-07,0.000100002898081,5.71808073014e-06,2.81094377019e-08,5.42437743269e-10,8.44830143598e-08,7.14990344386e-10,2.31525786856e-07,1.56282470373e-08,1.34406342784e-08,2.20590136313e-08,0.000410823288843,7.62806937961e-10,2.59556923957e-09,4.21380380505e-06,1.32584576597e-07,4.64577663954e-06,6.2681971942e-08,5.24475716762e-07,1.09507133887e-06,1.66837864022e-06,4.5064058027e-07,9.36147852491e-08,3.07534283772e-08,0.99743383706,0.00174904733715,0.000126005837326,1.99006128994e-09,1.80092618042e-07,2.0370478478e-07,5.193343708e-08,1.76778554619e-06,6.10229859549e-08,5.73384360103e-07,3.89042084575e-08,2.477697843e-07,3.07543797284e-09,5.46292798259e-12,2.46106507354e-05,8.42145596324e-08,9.50746172588e-09,1.56710103846e-09,2.34864058512e-09,8.25671659304e-10,5.62497368211e-10,4.8370259108e-08,2.78028012312e-08,6.73627715405e-08,3.35487467053e-08,1.03934797226e-08,4.94099842228e-07,6.52927799754e-05,8.43964235991e-07,6.32799238903e-08,2.7067869911e-10,2.67635135271e-09,2.1246936853e-07,1.67229232256e-06,2.9695016846e-07,1.16451607318e-07,1.13083833261e-09,3.70316322808e-07,2.68225243003e-06,1.40278246727e-07,2.15945071049e-08,4.9344788587e-06,2.65944887385e-05,9.56574234908e-07,2.18809594923e-07,1.67453547294e-06,3.30297370548e-11,2.33155934874e-10,6.90494930621e-07,8.46542424523e-08,3.37566707964e-09,2.40122323583e-06,1.01168924804e-05,2.28410697511e-07,1.27198591834e-09,2.99365035649e-11,3.08630789915e-07,2.41073299891e-09,7.05837142214e-09,6.09956367044e-06,1.39443746553e-08,1.21419898357e-08,9.52506743799e-08,5.39351385183e-08,1.09882646993e-07,1.51587764581e-07,8.92654474769e-11,2.98908413632e-10,2.64265394362e-07,1.40148464825e-09,1.80338089294e-06
24,4.682081499e-06,4.22271739888e-07,2.55975260571e-08,1.13434275206e-08,7.22814404809e-08,1.81714371918e-06,3.09234620415e-08,6.61432169472e-09,4.15237485061e-05,3.62528946419e-08,4.47903500686e-07,3.84062025403e-10,6.49724734318e-10,5.51655958931e-09,5.25438083001e-09,6.21824928682e-08,2.29688963442e-06,6.40414794111e-09,2.48578137122e-09,4.48736525621e-08,1.30394189344e-06,1.34087437192e-09,6.51730562722e-12,7.8952372823e-10,8.13719721336e-12,5.41282053365e-09,1.23916624014e-06,4.98098135322e-09,3.00113547252e-11,2.05721797479e-10,1.42565098801e-12,5.19857904019e-06,1.63055828164e-06,7.02695244484e-07,6.39632103193e-09,6.82086195932e-09,1.01252470227e-07,2.64004911022e-09,1.17340753038e-08,8.85805584112e-06,7.73571422273e-11,9.43510607801e-09,6.44370515853e-09,5.35295903602e-10,2.6390432272e-08,1.50857746885e-07,7.0942510522e-11,2.66372649925e-10,1.21897186123e-11,3.18477852386e-08,1.04238613723e-09,2.47812753369e-07,1.30934907673e-10,8.15212415716e-12,2.08444501888e-08,2.77750681682e-08,2.53065203305e-10,8.33880366345e-11,5.16019322498e-08,1.68314277576e-06,8.66591624524e-08,1.07573303901e-09,9.76452758133e-10,5.21461825319e-09,1.73601547033e-09,5.5790555799e-09,1.36705297668e-09,7.32570220468e-13,2.75823753272e-09,6.55366505288e-06,9.31256275349e-10,8.57724114903e-11,4.03146722729e-07,4.27925422879e-11,1.11711447844e-07,2.44402120882e-09,4.21852507925e-10,3.96713644065e-08,4.27685144093e-07,1.13450212009e-07,1.02617084088e-08,1.71758495698e-10,2.8158695819e-09,1.18855478025e-07,0.999919022563,1.01419638976e-09,2.56439675719e-11,8.38513503067e-10,1.4760668959e-10,5.26083618117e-08,2.47469606018e-09,3.61008499937e-09,5.20355262075e-09,9.20419047259e-10,1.81993458044e-07,2.92421293423e-09,4.28161993544e-12,2.90372884331e-10,6.03145488582e-10
28,5.55479601231e-05,9.53120317446e-06,7.75591731221e-08,1.16897946928e-07,7.43684426308e-07,3.00522740419e-08,9.24759748427e-07,7.1737434254e-05,0.999672553935,1.52120492114e-07,1.44257138407e-05,3.32702572919e-05,8.1222664413e-06,1.58840310551e-06,8.66931889212e-06,6.8695795385e-07,5.73193810758e-06,2.46094470531e-06,4.26374919347e-07,2.04321112309e-06,6.47901510162e-07,2.61202359477e-10,1.02610816371e-09,9.36330463232e-11,7.56888474849e-10,3.2126143831e-09,2.60431913051e-07,4.79245590809e-10,1.0339882671e-09,1.35891142186e-10,3.4015671744e-10,5.5017746746e-09,3.23674028353e-06,9.64804640734e-06,2.21986575943e-10,8.12652118605e-07,1.98558704092e-09,7.81866176641e-11,8.23551002426e-10,6.92803602189e-09,5.76116079406e-11,1.23944561714e-07,3.55829060789e-09,7.28717249655e-10,2.19287657305e-07,5.01766358566e-09,2.89239885097e-09,1.83390193688e-08,1.6936583768e-06,1.24826259239e-06,2.0132794724e-09,7.97252471847e-11,1.13154403978e-07,2.95933176317e-07,2.14135898872e-07,1.17760223679e-07,6.36724312975e-09,2.10024931862e-10,1.44792303943e-08,3.79615632557e-08,8.55995680787e-08,1.01298574862e-09,6.56314774078e-08,2.25334855596e-08,2.40855556155e-08,7.93468598422e-08,3.78741723952e-09,2.22992657016e-11,6.25134585339e-09,4.20145173651e-07,8.52787249465e-09,2.23248472061e-09,1.80005190052e-09,8.36458577053e-08,2.29210493691e-07,1.13302667142e-07,3.23429986101e-10,5.93298297526e-09,2.00257625156e-07,8.04404257308e-08,3.21862902738e-07,6.10955166484e-10,1.45961302222e-09,1.33883954926e-06,4.03108393498e-06,2.51022554526e-07,4.34899902611e-07,2.55592444254e-09,2.12302606929e-10,2.98758648235e-06,6.88781864171e-08,7.31717069883e-06,3.44198791414e-07,9.24190663982e-06,5.9232257522e-05,4.52064093404e-06,1.07195626781e-11,1.33878859457e-09,8.81887981314e-07
