id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.64679937492e-11,1.87748104293e-11,3.18708076636e-15,1.94593239586e-09,8.08014257373e-11,1.47465353104e-10,1.89022065333e-16,9.8418983042e-13,1.03211204638e-12,4.24859543499e-09,1.18970644681e-08,1.92834947126e-14,9.46341328579e-14,3.64565296772e-11,5.62038197155e-10,1.35114450062e-11,1.46268758071e-06,3.63576285168e-15,1.5200483779e-10,1.50213510218e-14,9.86766804829e-10,3.21391111199e-10,1.6068291424e-08,2.15749943952e-12,1.0371579035e-13,7.58958025959e-13,1.45781213915e-06,1.59027993341e-08,4.15753134268e-11,9.98405711987e-11,2.94137512594e-17,2.35399236132e-06,1.08097149513e-07,1.14156021036e-07,3.83620507395e-11,4.77214533501e-09,1.68470228645e-11,6.19756963155e-17,4.03827572605e-10,6.15714308141e-12,4.24335238073e-15,2.5356713645e-08,1.32935637683e-10,1.55187957515e-13,1.02656653619e-08,4.39359186391e-11,1.05750320828e-05,4.02161695713e-16,1.97531375292e-13,9.27239145167e-11,1.61753474263e-09,0.999910867385,2.64664192909e-12,1.55653691554e-07,2.38957871526e-09,9.19190214011e-07,1.33934652096e-06,6.75673739163e-15,8.69590572757e-13,1.05464637103e-11,4.7641719188e-12,2.79188685121e-11,3.51323354242e-12,4.36459210672e-11,2.78367742643e-05,2.14466843513e-10,3.5247193529e-09,1.029171916e-16,4.29639677482e-13,3.36655973667e-11,5.69434253307e-14,1.20594079865e-13,2.76537109865e-08,4.83836099716e-17,7.99327282776e-06,1.27362189464e-06,4.24926841036e-15,6.83327674986e-10,1.02696153416e-05,1.0671157607e-13,3.06602161732e-09,1.50525285938e-14,7.8606236948e-14,1.68175825741e-05,1.60957499259e-06,9.83545216312e-16,2.20431295057e-16,4.07570793646e-16,4.50364117293e-06,1.09240068673e-15,3.34822190752e-10,3.75080417268e-11,7.5635597713e-13,1.52565610546e-09,1.53067792969e-13,3.05799821481e-14,4.07443957613e-15,2.0771272368e-07,3.18898583109e-14
7,7.69032402196e-11,3.92354914914e-11,8.6313057439e-09,1.55360594389e-07,8.87463308662e-12,8.81369987691e-11,1.69539246018e-06,7.88013188476e-11,1.80126594474e-10,4.80417130089e-11,2.3258524359e-13,2.88967079163e-12,4.15394673464e-12,1.06611828995e-11,6.9140989083e-12,1.24460853802e-11,5.88677441306e-12,3.85872355652e-08,3.17455214541e-12,2.16277083175e-07,4.13820156125e-11,3.4198728641e-12,2.13824501031e-11,2.65764272593e-11,4.98649044178e-11,7.15562193128e-12,3.03074719396e-10,1.43426334184e-08,8.94766037364e-11,7.50827239171e-13,2.27488893013e-09,1.73963808896e-10,2.37625290187e-10,5.76643896813e-13,1.55580630551e-08,1.27149798139e-13,1.47101077118e-06,1.29876899402e-09,4.12937576489e-09,3.91259118144e-07,3.6950069102e-08,1.45846306945e-08,1.04813020007e-08,7.6900505508e-09,7.77141366595e-12,2.64196756236e-07,2.31041135634e-13,6.98164321903e-06,4.37407470566e-09,2.09424994079e-13,0.999981209626,1.39371673665e-10,2.81238829939e-10,1.25851668759e-09,5.53973656429e-10,7.19917250167e-09,1.11720190182e-11,9.48148929287e-09,2.29675657544e-07,9.91621387369e-09,5.64725726073e-09,1.15516330947e-09,1.58848651003e-12,3.14627966853e-08,1.45229834129e-12,6.56582159251e-12,4.47872764012e-12,1.18077430258e-09,2.25400397904e-09,4.77921025033e-06,8.7572676529e-14,2.62459390139e-12,1.32352548768e-11,1.04503072704e-10,2.04838239134e-13,4.32864826567e-12,9.59476717909e-07,2.69951472238e-11,3.82399606327e-10,8.75478591546e-10,7.0348785037e-11,4.37225191541e-09,3.49607315842e-07,5.23438663209e-08,1.00827067226e-07,2.97314689351e-08,4.6598857003e-09,1.26914156047e-07,2.18419316238e-13,2.32359948515e-09,3.75412348408e-09,1.57145109057e-12,7.31014612324e-13,1.4609353288e-14,4.55890760191e-07,9.98295748846e-10,2.82637340549e-07,2.99101859025e-12,3.37522562187e-10
9,8.02899150887e-08,0.998586801284,2.99291011122e-09,7.06806937986e-10,0.00114353061661,3.01992554823e-08,1.71120356697e-09,1.30534607766e-05,4.32635209163e-05,1.06836035819e-05,7.81701553485e-09,2.78593066625e-05,8.16668165663e-09,7.39124373521e-08,7.08161758043e-07,1.08499879078e-07,0.000125030229749,5.9233589979e-11,7.842795533e-10,5.2992216884e-07,3.70617885264e-09,2.60992531503e-08,1.45543284622e-12,4.23755708555e-10,3.67386991438e-12,7.66964665726e-07,2.35189308505e-06,6.47252377107e-12,4.13195804171e-10,1.62165502287e-08,1.24931213205e-09,3.49767054207e-10,1.5584175232e-07,8.72532921317e-08,1.72681829126e-10,1.4481447583e-06,1.88389965352e-11,2.74106696618e-09,4.86188494989e-11,3.95949872148e-06,1.75818346516e-08,1.64623134862e-08,4.64887052585e-10,3.88606353791e-11,1.10411783851e-08,1.03242063801e-09,4.9143339578e-10,1.13531549146e-08,2.53678540617e-06,1.05635143864e-07,7.38646808057e-09,2.72313907366e-11,6.86144589343e-09,1.98591692573e-07,5.9130450578e-09,1.24412056324e-10,5.86436253437e-06,5.73027661065e-10,1.11211801099e-10,2.16691223801e-10,4.2717360937e-09,6.20319012786e-12,1.57464667826e-09,1.75483852657e-08,7.31295281112e-08,1.38849677585e-09,5.3647243516e-09,7.79638275529e-11,1.42752181677e-12,4.64064806246e-09,2.67190697754e-10,6.61576096413e-09,1.11037793022e-09,9.96101465043e-07,3.7437388068e-07,1.9097482273e-08,5.16737792339e-11,1.64884210563e-09,1.06794609556e-07,5.70464231225e-11,1.20417176618e-08,1.64368074604e-11,4.21269786343e-10,1.7131377693e-08,4.77183897787e-08,8.12339427611e-06,3.71698859103e-10,3.27741635902e-08,4.02440815096e-09,1.32654963315e-07,1.31385651848e-09,1.77528714571e-08,6.61010161518e-09,3.32173941669e-09,6.87189828621e-09,1.94477793798e-07,3.44032841956e-11,1.44230143199e-09,2.04021565598e-05
12,1.62333855626e-09,0.00112656880539,2.69618626241e-09,3.82397042227e-10,1.96769370871e-08,8.77438967048e-12,6.20841671587e-06,1.54971202789e-07,4.93570546324e-06,3.69294485858e-06,3.29219286879e-11,4.75246994751e-06,7.19498282506e-06,0.000299816404082,1.05332746516e-06,9.97568968451e-09,1.25687984623e-09,1.49563040277e-05,4.30392101564e-11,0.993757666931,1.73516926861e-08,6.06813038401e-12,6.7151120758e-10,9.06845941872e-11,1.03883161484e-10,4.83718038116e-11,1.44288089239e-06,8.41317667005e-10,1.45577263738e-12,1.78803769871e-11,8.41306671743e-10,3.1545701157e-12,1.21541222147e-09,6.67997544922e-11,5.17379780194e-10,9.62067421429e-11,2.08762336874e-07,1.1667453173e-06,1.69176453435e-09,1.98552325534e-08,9.08934484837e-08,5.35645755738e-05,1.25568912844e-10,1.08859694333e-09,4.04740994836e-10,3.05394164161e-08,1.64185066298e-11,0.00161504575222,7.83360027304e-06,3.74145358623e-11,6.86223696283e-07,3.95038852061e-12,3.62471549891e-08,6.02234887036e-09,5.29588988609e-10,2.73782110611e-11,1.95684080303e-11,4.87468705492e-08,3.45246396763e-06,4.56700977468e-09,5.71110920592e-09,6.65499761808e-12,7.18325917245e-09,6.95130460913e-07,1.39004147525e-10,7.18811183348e-10,1.87383975634e-10,4.83493566277e-08,2.91120701888e-11,5.01868854594e-12,1.09809533419e-11,3.77514128727e-10,5.58308350598e-12,1.34140876217e-08,6.22093861519e-10,1.00766178471e-09,3.90998889541e-09,5.1549437399e-09,2.19754054317e-08,2.81035399052e-09,5.37289192716e-07,1.13249875133e-08,1.31688212931e-05,6.58027627908e-09,5.64620147239e-09,6.61694574342e-05,1.79200599465e-08,1.04923639931e-07,1.18349512295e-11,2.66455264628e-07,2.29533978756e-09,3.54513474569e-08,9.05891350465e-10,4.27080168014e-10,1.16397526321e-06,0.00299153642697,4.91618478568e-09,2.25664737038e-10,1.54595446916e-05
13,6.97151888229e-09,2.25853462358e-08,5.2487078706e-13,2.95023751344e-13,2.73225038704e-09,3.55765885774e-13,1.373721185e-09,4.65821800445e-09,4.27897594861e-06,2.95801463741e-08,5.54910892987e-10,3.21490713678e-05,1.788671208e-08,5.61182555889e-07,0.999946694805,1.0105588044e-10,5.05231873959e-06,1.00585773725e-10,7.32931486245e-10,1.98890850044e-11,3.56250475145e-08,4.38773645572e-13,7.68825102735e-10,4.28456432114e-12,3.37062457362e-11,8.83172417198e-12,7.12991467343e-08,8.28408113972e-13,1.57734704357e-12,5.65080448664e-12,2.19327296254e-11,2.32898088089e-14,3.8050705569e-13,4.35577469125e-11,5.99814762323e-13,6.76575809599e-09,4.58760774431e-12,1.2126811644e-11,1.56767845594e-10,1.33876581364e-12,1.66491954651e-10,3.30348811124e-10,1.0110129194e-12,1.35807800234e-10,1.50891419137e-12,1.94874641485e-13,9.52994372626e-12,3.86836654264e-09,3.48106385658e-06,7.86468239925e-07,1.72331250842e-12,5.50950209552e-13,4.97595854549e-09,7.30264384574e-09,4.79546913262e-11,6.07598235618e-14,2.69512723848e-11,1.34875328259e-11,2.72028413161e-11,5.06294543381e-11,1.05821126161e-11,1.20828766154e-12,1.21585237388e-11,1.61257142676e-09,1.79146319886e-10,3.54257884798e-13,1.61614725892e-11,1.63161232085e-12,2.13158182613e-14,4.24041880549e-13,8.35758887703e-11,3.59054487465e-09,3.14728673706e-13,7.70026618952e-12,4.22247119579e-08,1.11331986862e-10,7.22612084884e-12,8.94811031247e-10,3.2660515979e-09,1.64079740017e-10,2.74203985317e-09,1.16373196237e-12,1.47273863092e-09,2.59302970929e-09,2.09512083836e-11,5.17834758923e-11,4.45018998899e-11,2.83334784939e-12,7.0272512594e-11,1.9834525821e-08,1.8106196841e-11,3.23524794251e-07,1.62782036878e-10,2.97526086594e-07,1.15276332812e-07,5.95938191681e-06,2.20593489711e-10,1.67072056952e-09,2.9991119045e-10
16,1.58363790029e-05,2.13839846482e-07,4.54286317143e-06,0.97135476895,7.8999712474e-08,9.42102767594e-09,1.70414136446e-05,1.93111538238e-05,1.03130987171e-06,1.29813379619e-08,3.57118325551e-06,1.93314590171e-07,2.68663064521e-05,6.96790346016e-07,1.48137210525e-06,1.79336123342e-07,3.00870075151e-07,5.37365535843e-05,4.70666543912e-06,9.14692568705e-05,8.8711466375e-07,3.45459195051e-07,3.49117936113e-07,1.1578601498e-07,1.41734102509e-05,3.06783149435e-06,8.52850915186e-06,5.36417031488e-06,1.36468311715e-06,2.20827321377e-09,5.49941834988e-05,2.3368535563e-06,7.43316447362e-06,3.50537407903e-08,1.44967461471e-05,7.00971860963e-08,2.69474437274e-05,1.17728998537e-05,8.90890748242e-07,2.12017575127e-05,0.000149473304718,0.000230632296982,2.9508074165e-05,0.00512263520678,2.21678311699e-06,0.000328440526893,1.6425671551e-07,1.12137156833e-05,1.89615210826e-06,1.45025347863e-06,8.14791521563e-05,2.67095665281e-07,0.00257744970333,1.62752527622e-06,1.31636513669e-08,4.29116209914e-07,4.13541647687e-08,6.68979441432e-05,0.00136278828208,2.23784261083e-06,4.62581528946e-05,8.86176806514e-08,1.39701613565e-05,3.27056099269e-06,2.194838811e-08,2.65234767505e-06,1.57157246506e-07,0.00010370028365,3.76606012869e-05,3.40891528365e-05,5.25690820087e-08,2.91528506529e-06,5.60576279393e-08,1.97202014003e-05,2.05850053578e-08,2.13253982741e-06,3.7749868188e-05,9.50319894629e-07,1.17203516758e-08,2.12441571171e-05,1.98026376429e-09,0.000309507562355,4.78382676341e-05,0.000223330590546,6.90938766334e-07,0.00054886520839,0.0160310359298,6.48315559619e-06,2.63980406864e-08,0.000120868017978,0.000131544119657,4.90379705202e-06,7.92627346579e-07,1.47077337342e-06,0.000399907441835,1.44072753223e-05,6.36435195297e-05,1.19013879119e-05,1.47706299574e-05
19,3.50683812253e-06,7.71755093909e-08,1.49944195458e-06,0.99931278202,4.28014115948e-09,1.88547609657e-09,9.91009303218e-07,9.9814924225e-08,3.30785720661e-08,1.87922667789e-09,1.17947022866e-06,3.1326330669e-09,1.53987544239e-05,1.10927767766e-08,1.496288897e-08,1.19608364361e-08,5.21823002393e-08,1.47702378378e-07,9.04522394524e-08,4.85714144589e-06,4.53061378741e-07,3.59915021646e-08,2.58780746103e-09,3.24128457283e-08,3.48348136147e-07,6.11424255976e-07,1.44551879476e-08,4.50815046375e-08,3.03298179807e-07,1.7665640417e-09,3.67545219585e-06,1.37158886481e-06,4.94370649093e-06,1.2706113236e-09,2.70568054452e-07,3.34081924591e-09,1.92253893335e-06,1.34536709553e-06,4.09925618087e-07,1.65148851635e-05,1.08398805406e-07,9.14949331516e-06,4.04948521657e-07,3.01966476691e-05,1.33221061979e-07,1.38583611538e-05,3.13089991927e-08,4.69037042054e-07,1.50706475353e-07,1.09964411769e-08,0.000149937829638,1.63721379811e-07,4.17979707746e-06,4.84381376956e-07,2.77829544948e-09,2.06065541228e-07,3.92300915714e-08,4.29964248893e-07,3.95317335502e-05,1.74910970728e-07,3.60607283821e-05,8.38030959596e-09,4.6294847807e-08,1.13866829636e-07,3.11231057164e-08,7.32520122337e-06,4.33890053574e-09,5.45875960226e-07,1.49656807623e-05,6.58590309353e-06,1.83201357408e-09,3.37141931845e-08,1.69722034773e-09,3.54014415679e-08,7.16390811113e-10,3.74200881725e-08,9.16444783892e-06,3.99551849227e-08,3.60387972875e-10,1.92564644388e-06,3.20641540608e-10,2.03651974335e-05,1.95082880871e-06,1.09694747754e-07,1.40066794221e-06,3.35061427602e-05,1.14796494534e-05,8.09738232255e-06,9.30270851517e-11,9.4821062002e-07,1.53544394456e-05,2.65950936982e-07,7.44702299427e-08,1.35967893857e-08,0.000168502450273,9.47364342401e-08,2.17375909969e-06,9.64171938331e-08,3.59025285655e-05
23,3.28512391968e-10,3.39954722457e-08,1.12079472406e-06,3.85564379809e-06,1.7523866665e-08,0.000224830944716,1.99624428381e-06,2.33072303516e-08,2.09996292956e-10,4.51070766588e-09,4.57204326233e-11,3.26055048012e-08,1.29349424167e-08,1.2502765511e-09,1.58926126818e-10,0.000324076685701,6.50033494927e-11,2.00003197473e-09,2.81270833588e-07,1.79834046823e-08,1.95002567246e-06,8.96913265296e-08,9.04067223014e-08,1.33168792346e-06,2.11684960701e-06,1.13220953897e-07,1.19093014611e-10,3.65568828715e-08,0.997424156871,0.00176763087112,7.36312501668e-05,1.73267774379e-10,2.88046353797e-08,1.69071055522e-08,9.94732975512e-08,1.48104990567e-07,1.77992608175e-08,5.27838814501e-06,5.33859880501e-09,5.92620466914e-06,9.32201296831e-09,1.22731559975e-11,2.88811477217e-05,4.32889600849e-08,5.85453286066e-10,7.83903955972e-09,7.79217355721e-10,2.59172388388e-09,2.07310023411e-08,3.40886702662e-10,4.21376838428e-08,1.80087242155e-07,1.10952449823e-08,1.24190913484e-08,4.99362751431e-08,0.000100723762755,1.00476070163e-06,1.27097063091e-07,9.2070105975e-10,2.47739083591e-09,4.70295539664e-08,3.87588189941e-07,2.59395994613e-08,1.77442943451e-08,1.47935503864e-09,1.04872385981e-07,1.11950271442e-06,8.24654376532e-08,6.45632462658e-09,2.65421177752e-06,6.11591109983e-06,1.69280605095e-07,7.5746058167e-08,5.61843562883e-07,1.37704141105e-10,3.2347844909e-11,1.85817507001e-06,1.21755615004e-08,6.69076795338e-10,7.38688579425e-07,2.27269861231e-06,2.52978954293e-06,1.13244787632e-08,1.25115732733e-12,4.05859340125e-08,2.69064874665e-09,3.3635135898e-09,1.03932004273e-05,4.10281405423e-09,7.30777348872e-09,4.47219379757e-08,4.66616011234e-09,1.40148060002e-08,5.63290130259e-08,3.08385386181e-10,9.51673485333e-11,1.0094523092e-07,3.91714664933e-10,4.34932648781e-07
24,2.81292373779e-07,2.46300666098e-09,3.81463401265e-10,4.5853570478e-11,3.75078874991e-10,2.90795982948e-08,2.34079314393e-10,4.05766390127e-11,1.58350398468e-06,2.65663593389e-10,2.92822317429e-09,5.30729118544e-13,1.0773620812e-11,1.08837102628e-11,7.4766414211e-12,3.20492461417e-10,4.98499792602e-08,1.25999179556e-10,7.00454202779e-13,2.45619807196e-10,3.16972578784e-09,9.87044508088e-11,5.70292517492e-15,1.71828495882e-10,4.89798501248e-14,4.50794836244e-11,6.59834928628e-09,3.2314883538e-10,5.04583499774e-14,1.78123991895e-11,3.38706673738e-13,6.51773674513e-07,2.48267045733e-08,2.61162410082e-09,7.93426736031e-09,1.30369339717e-11,3.67549661395e-09,1.12568846269e-08,9.09120569586e-10,3.7746912094e-06,7.97640182261e-11,1.02871442657e-09,4.07728836562e-10,1.92541147077e-11,3.37352403685e-10,2.22193426447e-08,7.61527495932e-13,9.71226465883e-11,6.46655366982e-13,1.1917523629e-11,7.14079696288e-11,3.67694295841e-08,1.58568877084e-12,7.09356524313e-14,8.74429704315e-11,1.43430344187e-10,3.0030118036e-12,2.08538943213e-11,1.01603325127e-07,2.47157286899e-07,9.73219471582e-11,7.34527579485e-12,2.618070301e-13,4.73852377931e-11,1.44211359756e-10,5.43153485642e-11,1.18484020891e-11,1.76045739027e-13,6.84273988725e-11,5.44226215424e-08,2.72485768948e-12,1.37209952533e-12,1.47127238398e-08,1.65901420146e-14,3.86094477367e-09,7.20080482162e-11,1.25650910739e-10,2.46342639574e-10,1.64969806652e-08,5.87084342562e-11,2.18113980156e-11,1.84371307557e-10,6.48561733735e-09,3.91441303434e-09,0.999993027967,4.12969357853e-11,7.08036305955e-14,1.78791391954e-10,5.64415072055e-12,1.33886072072e-09,3.98213862222e-11,9.04133267271e-12,3.60421148809e-11,1.46634585479e-12,1.99355669763e-08,3.52242477472e-11,2.24611059103e-13,1.30658165216e-11,6.50758344518e-13
28,4.98477777717e-06,1.72907736907e-06,1.28906952357e-09,3.08699625884e-08,4.36205056946e-08,1.73215094952e-10,1.34022642545e-07,1.58683881333e-05,0.999934564908,1.60350645185e-08,1.07268787507e-06,9.51210060066e-07,3.99210287077e-06,5.42093373387e-08,1.42208600413e-06,5.6825580703e-09,6.75677850495e-07,3.1682513582e-07,2.30129725498e-09,1.6843545436e-07,2.21622190368e-08,2.66239584874e-11,2.17386430731e-11,1.11467129918e-10,2.32223269734e-11,1.23711741548e-10,1.64493583532e-08,2.27103451675e-11,2.52706619738e-11,2.36794181581e-11,5.58858145499e-10,1.82647060936e-10,4.95141547741e-08,6.94276594878e-08,8.26191706493e-10,2.47075443203e-08,4.18689583106e-11,9.03698841009e-09,4.06991032534e-11,1.90724583704e-08,1.20078320955e-08,3.27739408152e-08,2.13360993782e-10,7.86558026394e-11,1.58562352331e-08,5.35454644456e-09,2.60627722461e-10,7.09915338243e-09,2.10651293591e-07,2.34812402255e-08,3.70093131515e-10,4.34337761373e-12,1.87562313508e-08,2.63054159627e-08,3.16344282908e-09,8.08751562968e-10,8.1165746047e-10,1.87798388356e-10,6.71193714022e-09,1.0216831831e-09,7.86277111282e-10,1.21513485082e-11,3.45163139498e-10,4.25026599608e-10,1.4038128051e-08,3.7644066702e-09,1.31841075855e-10,5.71079929819e-11,2.51566706441e-10,1.72771958249e-09,1.0772360191e-10,7.49770223205e-10,3.34836176732e-11,1.06788783387e-09,4.64874908001e-08,5.58091463447e-09,1.38804822168e-10,1.23872833656e-10,2.73150185188e-08,2.12044921791e-10,4.31765103832e-09,2.12495095036e-09,2.06348189824e-07,8.47967700102e-08,5.63551369588e-07,7.9860861146e-08,3.9136702583e-08,2.99491676012e-09,7.93011833267e-11,7.31180271452e-07,6.69189335132e-09,3.97526085338e-07,1.49427035249e-08,3.83156386286e-07,3.05042192066e-05,2.48611938849e-07,9.15033895628e-13,1.34787347006e-10,1.42709318931e-08
